topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789205087.9589539,1789205087.9589539,0.6037
/camera/world/agv2_confidence,1789205087.9591503,1789205087.9591503,0.574
/camera/world/agv3_confidence,1789205087.9592986,1789205087.9592986,0.5749
/camera/world/agv1_confidence,1789205087.9896889,1789205087.9896889,0.6036
/camera/world/agv3_confidence,1789205087.9898481,1789205087.9898481,0.5791
/camera/world/agv2_confidence,1789205087.9898725,1789205087.9898725,0.4528
/camera/world/agv1_confidence,1789205088.0210795,1789205088.0210795,0.6034
/camera/world/agv2_confidence,1789205088.0213356,1789205088.0213356,0.5755
/camera/world/agv3_confidence,1789205088.0215716,1789205088.0215716,0.5753
/camera/world/agv2_confidence,1789205088.0503721,1789205088.0503721,0.5753
/camera/world/agv3_confidence,1789205088.050538,1789205088.050538,0.5762
/camera/world/agv1_confidence,1789205088.0505881,1789205088.0505881,0.6036
/camera/world/agv1_confidence,1789205088.0855837,1789205088.0855837,0.5875
/camera/world/agv2_confidence,1789205088.0857463,1789205088.0857463,0.5749
/camera/world/agv3_confidence,1789205088.085819,1789205088.085819,0.5753
/camera/world/agv2_confidence,1789205088.116255,1789205088.116255,0.5738
/camera/world/agv1_confidence,1789205088.116274,1789205088.116274,0.6043
/camera/world/agv3_confidence,1789205088.1165578,1789205088.1165578,0.5279
/camera/world/agv1_confidence,1789205088.1448557,1789205088.1448557,0.6049
/camera/world/agv3_confidence,1789205088.1450717,1789205088.1450717,0.5278
/camera/world/agv2_confidence,1789205088.1451228,1789205088.1451228,0.5678
/camera/world/agv1_confidence,1789205088.1760175,1789205088.1760175,0.6038
/camera/world/agv3_confidence,1789205088.1762307,1789205088.1762307,0.5766
/camera/world/agv2_confidence,1789205088.1763413,1789205088.1763413,0.5753
/camera/world/agv2_confidence,1789205088.22387,1789205088.22387,0.5752
/camera/world/agv1_confidence,1789205088.2239082,1789205088.2239082,0.6034
/camera/world/agv3_confidence,1789205088.2241826,1789205088.2241826,0.5757
/camera/world/agv3_confidence,1789205088.2564206,1789205088.2564206,0.5754
/camera/world/agv1_confidence,1789205088.2564251,1789205088.2564251,0.6036
/camera/world/agv2_confidence,1789205088.256701,1789205088.256701,0.5743
/camera/world/agv1_confidence,1789205088.2892764,1789205088.2892764,0.6049
/camera/world/agv2_confidence,1789205088.2895327,1789205088.2895327,0.5721
/camera/world/agv3_confidence,1789205088.2895634,1789205088.2895634,0.575
/camera/world/agv1_confidence,1789205088.3193538,1789205088.3193538,0.6034
/camera/world/agv2_confidence,1789205088.3194363,1789205088.3194363,0.5752
/camera/world/agv3_confidence,1789205088.319671,1789205088.319671,0.5734
/camera/world/agv1_confidence,1789205088.356648,1789205088.356648,0.6033
/camera/world/agv3_confidence,1789205088.3567147,1789205088.3567147,0.5795
/camera/world/agv2_confidence,1789205088.3568594,1789205088.3568594,0.5729
/camera/world/agv2_confidence,1789205088.3853002,1789205088.3853002,0.5743
/camera/world/agv1_confidence,1789205088.38534,1789205088.38534,0.6044
/camera/world/agv3_confidence,1789205088.3855214,1789205088.3855214,0.5757
/camera/world/agv1_confidence,1789205088.414419,1789205088.414419,0.5926
/camera/world/agv2_confidence,1789205088.4144335,1789205088.4144335,0.5741
/camera/world/agv3_confidence,1789205088.4146547,1789205088.4146547,0.5792
/camera/world/agv2_confidence,1789205088.4456348,1789205088.4456348,0.5765
/camera/world/agv1_confidence,1789205088.445657,1789205088.445657,0.6043
/camera/world/agv3_confidence,1789205088.4460063,1789205088.4460063,0.5745
