topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789189260.6318834,1789189260.6316411,1,37567,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.637362480163574
/agv1/capability_report,1789189260.6507566,1789189260.643639,1,37568,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.637362480163574
/agv1/capability_report,1789189260.6517487,1789189260.651567,1,37569,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.637362480163574
/agv2/capability_report,1789189260.6600325,1789189260.6509893,2,32792,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.133772850036621
/agv3/capability_report,1789189260.6608849,1789189260.6578321,3,32374,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.6637063,1789189260.6635718,1,37570,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.637362480163574
/agv2/capability_report,1789189260.6642053,1789189260.6588373,2,32793,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.133772850036621
/agv3/capability_report,1789189260.6680152,1789189260.6658125,3,32375,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.6716628,1789189260.6715772,1,37571,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.637362480163574
/agv2/capability_report,1789189260.6727555,1789189260.6708782,2,32794,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.133772850036621
/agv2/capability_report,1789189260.6814885,1789189260.6789706,2,32795,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.133772850036621
/agv1/capability_report,1789189260.6837614,1789189260.6836455,1,37572,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv1/capability_report,1789189260.6916702,1789189260.6915698,1,37573,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv2/capability_report,1789189260.6933563,1789189260.6908388,2,32796,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.19582462310791
/agv3/capability_report,1789189260.6975935,1789189260.6777778,3,32376,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv3/capability_report,1789189260.6975994,1789189260.6858454,3,32377,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789189260.7013056,1789189260.6988611,2,32797,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.19582462310791
/agv3/capability_report,1789189260.701397,1789189260.6978095,3,32378,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.7036529,1789189260.703555,1,37574,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv3/capability_report,1789189260.7082496,1789189260.7058454,3,32379,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.711733,1789189260.7115543,1,37575,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv2/capability_report,1789189260.7129052,1789189260.7109435,2,32798,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.19582462310791
/agv2/capability_report,1789189260.72139,1789189260.7189631,2,32799,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.19582462310791
/agv3/capability_report,1789189260.7227275,1789189260.7178454,3,32380,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.7236855,1789189260.7235675,1,37576,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv3/capability_report,1789189260.7281437,1789189260.725838,3,32381,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789189260.7316606,1789189260.7315695,1,37577,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.018534660339355
/agv2/capability_report,1789189260.7329698,1789189260.7310617,2,32800,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.19582462310791
/agv3/capability_report,1789189260.7409635,1789189260.7378476,3,32382,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
