topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv1/chassis_command,1789189260.6507146,1789189260.6380095,1,59677,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.6507225,1789189260.6479292,1,59678,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6507263,1789189260.6380095,2,59677,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6507301,1789189260.6479292,2,59678,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6585507,1789189260.657869,2,59679,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.6585553,1789189260.657869,1,59679,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.6585624,1789189260.657869,3,59679,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.6687706,1789189260.6678634,3,59680,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6687763,1789189260.6678634,2,59680,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.668781,1789189260.6678634,1,59680,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6786082,1789189260.6778934,2,59681,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.6786084,1789189260.6778934,1,59681,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.67861,1789189260.6778934,3,59681,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.688887,1789189260.687891,1,59682,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.68889,1789189260.687891,2,59682,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.6889732,1789189260.687891,3,59682,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.6986115,1789189260.6978607,1,59683,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.6986465,1789189260.6978607,2,59683,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.6986494,1789189260.6978607,3,59683,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.708564,1789189260.707882,1,59684,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7085755,1789189260.707882,2,59684,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7085779,1789189260.707882,3,59684,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.718721,1789189260.717983,1,59685,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7187278,1789189260.717983,2,59685,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7187428,1789189260.717983,3,59685,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.728628,1789189260.7279065,1,59686,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7286444,1789189260.7279065,2,59686,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7286553,1789189260.7279065,3,59686,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.7387283,1789189260.7378974,1,59687,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7387304,1789189260.7378974,2,59687,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7387385,1789189260.7378974,3,59687,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.748902,1789189260.7478793,2,59688,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7489042,1789189260.7478793,3,59688,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.7489052,1789189260.7478793,1,59688,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.7587435,1789189260.7578993,1,59689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.758761,1789189260.7578993,2,59689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7587638,1789189260.7578993,3,59689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.7686996,1789189260.7678695,1,59690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7687023,1789189260.7678695,2,59690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7687047,1789189260.7678695,3,59690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.778827,1789189260.7778723,1,59691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7788332,1789189260.7778723,2,59691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.778865,1789189260.7778723,3,59691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.788695,1789189260.787867,1,59692,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.78873,1789189260.787867,3,59692,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7887323,1789189260.787867,2,59692,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.7986326,1789189260.797864,1,59693,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.7986417,1789189260.797864,2,59693,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.7986453,1789189260.797864,3,59693,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.8086581,1789189260.8078623,1,59694,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.808667,1789189260.8078623,2,59694,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv3/chassis_command,1789189260.8086765,1789189260.8078623,3,59694,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv1/chassis_command,1789189260.818706,1789189260.8178642,1,59695,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
/agv2/chassis_command,1789189260.818709,1789189260.8178642,2,59695,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p80_pilot,M1_R1
