topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789710794.3030899,1789710794.3029292,1789710794.2989092,1,4442,50762,1249247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789710794.311171,1789710794.310958,1789710794.3069062,1,4443,50763,1249249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789710794.3126311,1789710794.309474,1789710794.3094313,2,4014,50762,1248268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772014617919922,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789710794.3158507,1789710794.3150935,1789710794.307071,3,3863,50763,1245936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789710794.317646,1789710794.3173747,1789710794.3173304,2,4015,50763,1248270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772014617919922,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789710794.32308,1789710794.3229458,1789710794.3229318,1,4444,50764,1249253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789710794.3277194,1789710794.3270888,1789710794.3230782,3,3864,50764,1245940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789710794.3295755,1789710794.329494,1789710794.3254526,2,4016,50764,1248272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772014617919922,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789710794.3310204,1789710794.3309371,1789710794.3309157,1,4445,50765,1249255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789710794.334861,1789710794.3350859,1789710794.331077,3,3865,50765,1245942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.850110054016113,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789710794.3376038,1789710794.3375278,1789710794.3334916,2,4017,50765,1248274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772014617919922,False,False,False,False,False,False,False
