topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789710794.4370956,1789710794.4370956,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.4363894,2.0,-0.0010856731627446811,0.0,0.0,0.004,0.0,9.096066428629206e-08,8.837209886267793e-08,9.096066428629206e-08,8.837209886267793e-08,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.4469948,1789710794.4469948,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.446454,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,7.292409236332033e-07,7.08491216220373e-07,7.292409236332033e-07,7.08491216220373e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.4569826,1789710794.4569826,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.4564438,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,2.421125865114071e-06,2.352245100078888e-06,2.421125865114071e-06,2.352245100078888e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.4669719,1789710794.4669719,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.4664392,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,5.6557693731488354e-06,5.494884324929861e-06,5.6557693731488354e-06,5.494884324929861e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.47695,1789710794.47695,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.4764118,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,1.0871149894280234e-05,1.0561945719498528e-05,1.0871149894280234e-05,1.0561945719498528e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.4869754,1789710794.4869754,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.4864662,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,1.857522989939963e-05,1.804696151758964e-05,1.857522989939963e-05,1.804696151758964e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.4972813,1789710794.4972813,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.496399,2.0,-0.001085673162744688,0.0,0.0,0.004,0.0,2.8991737253863367e-05,2.816682561345993e-05,2.8991737253863367e-05,2.816682561345993e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5071204,1789710794.5071204,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5064228,2.0,-0.0010905406282448772,0.0,0.0,0.004,0.0,4.2717688251250186e-05,4.15234287658653e-05,4.2717688251250186e-05,4.15234287658653e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5174325,1789710794.5174325,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.516408,2.0,-0.0010905406282448772,0.0,0.0,0.004,0.0,5.9936726590811176e-05,5.826123523847398e-05,5.9936726590811176e-05,5.826123523847398e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.527203,1789710794.527203,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5264566,2.0,-0.0010905406282448772,0.0,0.0,0.004,0.0,8.119064684053045e-05,7.892121408012332e-05,8.119064684053045e-05,7.892121408012332e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5373435,1789710794.5373435,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5364192,2.0,-0.0010905406282448772,0.0,0.0,0.004,0.0,0.00010643758500912226,0.0001034626970969414,0.00010643758500912226,0.0001034626970969414,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5471723,1789710794.5471723,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5464528,2.0,-0.0010889466563994768,0.0,0.0,0.004,0.0,0.0001363102551576818,0.0001326013591777598,0.0001363102551576818,0.0001326013591777598,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.557226,1789710794.557226,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.556381,2.0,-0.0010889466563994768,0.0,0.0,0.004,0.0,0.00017061627367532972,0.00016597700389957295,0.00017061627367532972,0.00016597700389957295,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5672212,1789710794.5672212,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5664542,2.0,-0.0010889466563994768,0.0,0.0,0.004,0.0,0.00021044614047256046,0.0002047243039378552,0.00021044614047256046,0.0002047243039378552,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5773437,1789710794.5773437,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5764427,2.0,-0.0010758249025848363,0.0,0.0,0.004,0.0,0.000254793432408861,0.0002481398879526142,0.000254793432408861,0.0002481398879526142,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5871968,1789710794.5871968,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.586369,2.0,-0.0010758249025848293,0.0,0.0,0.004,0.0,0.0003045418269220484,0.00029658985287929116,0.0003045418269220484,0.00029658985287929116,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.5970309,1789710794.5970309,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.5963683,2.0,-0.0010758249025848293,0.0,0.0,0.004,0.0,0.00036023952468333545,0.0003508341518777509,0.00036023952468333545,0.0003508341518777509,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.6072648,1789710794.6072648,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6064594,2.0,-0.001056513211210322,0.0,0.0,0.004,0.0,0.0004215377398087706,0.00041093453073402233,0.0004215377398087706,0.00041093453073402233,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.617046,1789710794.617046,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6164193,2.0,-0.001056513211210322,0.0,0.0,0.004,0.0,0.000488659983556029,0.0004763814192367166,0.000488659983556029,0.0004763814192367166,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.627559,1789710794.627559,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.626478,2.0,-0.001056513211210322,0.0,0.0,0.004,0.0,0.00056256601107778,0.0005484321697072385,0.00056256601107778,0.0005484321697072385,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.6372366,1789710794.6372366,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6363876,2.0,-0.0010651168748356185,0.0,0.0,0.004,0.0,0.0006421888167543103,0.0006253640745900909,0.0006421888167543103,0.0006253640745900909,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.647417,1789710794.647417,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6464806,2.0,-0.001065116874835629,0.0,0.0,0.004,0.0,0.0007291125573361644,0.0007100565621117153,0.0007291125573361644,0.0007100565621117153,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.6569548,1789710794.6569548,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6563902,2.0,-0.001065116874835629,0.0,0.0,0.004,0.0,0.0008208527952582364,0.0007994025627271859,0.0008208527952582364,0.0007994025627271859,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.666961,1789710794.666961,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6664073,2.0,-0.001065116874835629,0.0,0.0,0.004,0.0,0.0009201568614690541,0.000896116590900324,0.0009201568614690541,0.000896116590900324,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.6770313,1789710794.6770313,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6764135,2.0,-0.0010675045379493937,0.0,0.0,0.004,0.0,0.0010262262720949385,0.0009992110312686637,0.0010262262720949385,0.0009992110312686637,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789710794.6877024,1789710794.6877024,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789710794.6863825,2.0,-0.0010675045379493972,0.0,0.0,0.004,0.0,0.0011383799447203169,0.001108418627943232,0.0011383799447203169,0.001108418627943232,0.0,0.0]"
