topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789283530.0419,1789283530.0419,0.5908
/camera/world/agv3_confidence,1789283530.0419183,1789283530.0419183,0.5756
/camera/world/agv2_confidence,1789283530.0419862,1789283530.0419862,0.5668
/camera/world/agv2_confidence,1789283530.069616,1789283530.069616,0.5625
/camera/world/agv1_confidence,1789283530.0696921,1789283530.0696921,0.588
/camera/world/agv3_confidence,1789283530.0697014,1789283530.0697014,0.5755
/camera/world/agv2_confidence,1789283530.100236,1789283530.100236,0.5601
/camera/world/agv1_confidence,1789283530.1002767,1789283530.1002767,0.5942
/camera/world/agv3_confidence,1789283530.100307,1789283530.100307,0.5755
/camera/world/agv1_confidence,1789283530.141868,1789283530.141868,0.5905
/camera/world/agv2_confidence,1789283530.1418784,1789283530.1418784,0.571
/camera/world/agv3_confidence,1789283530.1420603,1789283530.1420603,0.5758
/camera/world/agv1_confidence,1789283530.1715493,1789283530.1715493,0.5873
/camera/world/agv2_confidence,1789283530.1716406,1789283530.1716406,0.5752
/camera/world/agv3_confidence,1789283530.1719844,1789283530.1719844,0.5758
/camera/world/agv1_confidence,1789283530.2012577,1789283530.2012577,0.5852
/camera/world/agv2_confidence,1789283530.201345,1789283530.201345,0.5683
/camera/world/agv3_confidence,1789283530.2017643,1789283530.2017643,0.5751
/camera/world/agv1_confidence,1789283530.235801,1789283530.235801,0.5842
/camera/world/agv2_confidence,1789283530.2359786,1789283530.2359786,0.5762
/camera/world/agv3_confidence,1789283530.2360597,1789283530.2360597,0.5752
/camera/world/agv1_confidence,1789283530.2726154,1789283530.2726154,0.5865
/camera/world/agv2_confidence,1789283530.2726197,1789283530.2726197,0.5601
/camera/world/agv3_confidence,1789283530.272675,1789283530.272675,0.5756
/camera/world/agv1_confidence,1789283530.300832,1789283530.300832,0.5898
/camera/world/agv3_confidence,1789283530.3010902,1789283530.3010902,0.5754
/camera/world/agv2_confidence,1789283530.3011634,1789283530.3011634,0.5673
