topic,bag_stamp,header_stamp,layout_label,data_json
/pose_provider/agv2/fusion_timing,1789284506.4378967,1789284506.4378967,,"[5046.0,1789284506.4358933,1789284506.437792,1789284506.437805,1789284506.4378126,1.0,1.284e-05]"
/pose_provider/agv2/estimator_timing,1789284506.4379172,1789284506.4379172,,"[5018.0,1789284506.4358933,1789284506.4378908,0.001997197,1.0]"
/multi_agv/state_projection_timing,1789284506.4393423,1789284506.4392276,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4392276,1.0,0.0,1789284506.4265542,0.012673341000000001,1.0,0.010315026169141955,0.0,1789284506.4278896,0.011337950000000001,1.0,-0.005559410839221145,0.0,1789284506.4288783,0.010349196000000001,1.0,-0.005166117795892586,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.44332,1789284506.44332,,"[4870.0,1789284506.4409454,1789284506.443283,0.0023377100000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.4468675,1789284506.4468675,,"[5215.0,1789284506.446607,1789284506.4468217,1789284506.4468277,1789284506.446829,1.0,6.0040000000000005e-06]"
/pose_provider/agv1/estimator_timing,1789284506.4468966,1789284506.4468966,,"[5192.0,1789284506.446607,1789284506.4468703,0.000263032,1.0]"
/multi_agv/state_projection_timing,1789284506.449228,1789284506.4491937,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4491937,1.0,0.0,1789284506.4345596,0.014634331,1.0,0.01032127540687295,0.0,1789284506.4358933,0.013300463,1.0,-0.00533128859193234,0.0,1789284506.4409454,0.008248458,1.0,-0.005166117795892586,0.0]"
/pose_provider/agv2/fusion_timing,1789284506.4503827,1789284506.4503827,,"[5047.0,1789284506.4479876,1789284506.4503012,1789284506.4503334,1789284506.4503424,1.0,3.2178e-05]"
/pose_provider/agv2/estimator_timing,1789284506.4504123,1789284506.4504123,,"[5019.0,1789284506.4479876,1789284506.4503865,0.002398673,1.0]"
/pose_provider/agv3/estimator_timing,1789284506.4513788,1789284506.4513788,,"[4871.0,1789284506.4488983,1789284506.4513526,0.002454024,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.4548633,1789284506.4548633,,"[5216.0,1789284506.4545975,1789284506.4547925,1789284506.4548352,1789284506.454837,1.0,4.2617e-05]"
/pose_provider/agv1/estimator_timing,1789284506.4549127,1789284506.4549127,,"[5193.0,1789284506.4545975,1789284506.4548826,0.000284843,1.0]"
/pose_provider/agv2/estimator_timing,1789284506.4576654,1789284506.4576654,,"[5020.0,1789284506.4559786,1789284506.4576416,0.001662875,1.0]"
/pose_provider/agv2/fusion_timing,1789284506.4576657,1789284506.4576657,,"[5048.0,1789284506.4559786,1789284506.4575596,1789284506.4575715,1789284506.4575737,1.0,1.1973e-05]"
/multi_agv/state_projection_timing,1789284506.4594355,1789284506.4593313,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4593313,1.0,0.0,1789284506.446607,0.012724182,1.0,0.010321275406872936,0.0,1789284506.4479876,0.011343665000000001,1.0,-0.005331288591932333,0.0,1789284506.4488983,0.010432934000000001,1.0,-0.005166117795892586,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.4621587,1789284506.4621587,,"[4872.0,1789284506.4609342,1789284506.4621398,0.001205392,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.4667728,1789284506.4667728,,"[5217.0,1789284506.4665942,1789284506.466705,1789284506.4667106,1789284506.466713,1.0,5.4180000000000005e-06]"
/pose_provider/agv1/estimator_timing,1789284506.4667764,1789284506.4667764,,"[5194.0,1789284506.4665942,1789284506.466757,0.00016269300000000002,1.0]"
/multi_agv/state_projection_timing,1789284506.4693873,1789284506.4693608,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4693608,1.0,0.0,1789284506.4545975,0.014763296,1.0,0.010321275406872929,0.0,1789284506.4559786,0.013382344000000001,1.0,-0.00533128859193234,0.0,1789284506.4609342,0.008426701,1.0,-0.00526299474179083,0.0]"
/pose_provider/agv2/fusion_timing,1789284506.4695015,1789284506.4695015,,"[5049.0,1789284506.4679143,1789284506.4694295,1789284506.4694352,1789284506.4694378,1.0,5.635e-06]"
/pose_provider/agv2/estimator_timing,1789284506.4695046,1789284506.4695046,,"[5021.0,1789284506.4679143,1789284506.4694855,0.0015710820000000001,1.0]"
/pose_provider/agv3/estimator_timing,1789284506.4707606,1789284506.4707606,,"[4873.0,1789284506.4689412,1789284506.470744,0.0018027230000000002,1.0]"
/pose_provider/agv1/estimator_timing,1789284506.4748504,1789284506.4748504,,"[5195.0,1789284506.4745982,1789284506.4748294,0.000231262,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.4748528,1789284506.4748528,,"[5218.0,1789284506.4745982,1789284506.47473,1789284506.4747846,1789284506.4747865,1.0,5.4602000000000003e-05]"
/pose_provider/agv2/fusion_timing,1789284506.4773023,1789284506.4773023,,"[5050.0,1789284506.4758961,1789284506.4772458,1789284506.4772573,1789284506.4772594,1.0,1.1368e-05]"
/pose_provider/agv2/estimator_timing,1789284506.4773855,1789284506.4773855,,"[5022.0,1789284506.4758961,1789284506.4773188,0.0014225870000000001,1.0]"
/multi_agv/state_projection_timing,1789284506.4793525,1789284506.4792452,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4792452,1.0,0.0,1789284506.4665942,0.012650879,1.0,0.010312287309989378,0.0,1789284506.4679143,0.011330699000000001,1.0,-0.005268310742185353,0.0,1789284506.4689412,0.010303937,1.0,-0.00526299474179083,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.4828317,1789284506.4828317,,"[4874.0,1789284506.4809377,1789284506.482798,0.0018601580000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.486802,1789284506.486802,,"[5219.0,1789284506.4866126,1789284506.486695,1789284506.4867744,1789284506.4867764,1.0,7.9467e-05]"
/pose_provider/agv1/estimator_timing,1789284506.4868982,1789284506.4868982,,"[5196.0,1789284506.4866126,1789284506.48687,0.00025732,1.0]"
/multi_agv/state_projection_timing,1789284506.4892492,1789284506.4892087,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4892087,1.0,0.0,1789284506.4745982,0.014610491000000001,1.0,0.010312287309989364,0.0,1789284506.4758961,0.013312469,1.0,-0.005268310742185353,0.0,1789284506.4809377,0.00827083,1.0,-0.00526299474179083,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.4912374,1789284506.4912374,,"[4875.0,1789284506.4889286,1789284506.4912102,0.002281468,1.0]"
/pose_provider/agv2/fusion_timing,1789284506.491629,1789284506.491629,,"[5051.0,1789284506.4879282,1789284506.4914572,1789284506.4914956,1789284506.4914975,1.0,3.8384000000000004e-05]"
/pose_provider/agv2/estimator_timing,1789284506.491646,1789284506.491646,,"[5023.0,1789284506.4879282,1789284506.4916196,0.0036911920000000003,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.4947917,1789284506.4947917,,"[5220.0,1789284506.49459,1789284506.4946988,1789284506.4947052,1789284506.494708,1.0,6.453000000000001e-06]"
/pose_provider/agv1/estimator_timing,1789284506.4948184,1789284506.4948184,,"[5197.0,1789284506.49459,1789284506.4947803,0.00019016600000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789284506.4978316,1789284506.4978316,,"[5052.0,1789284506.4959033,1789284506.497736,1789284506.4977434,1789284506.4977472,1.0,7.489000000000001e-06]"
/pose_provider/agv2/estimator_timing,1789284506.4978492,1789284506.4978492,,"[5024.0,1789284506.4959033,1789284506.4978132,0.0019098750000000001,1.0]"
/multi_agv/state_projection_timing,1789284506.499283,1789284506.4992337,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.4992337,1.0,0.0,1789284506.4866126,0.012621111,1.0,0.010312287309989364,0.0,1789284506.4879282,0.011305407,1.0,-0.005268310742185353,0.0,1789284506.4889286,0.010305099,1.0,-0.00526299474179083,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.5027392,1789284506.5027392,,"[4876.0,1789284506.5009408,1789284506.5027096,0.0017684100000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.506755,1789284506.506755,,"[5221.0,1789284506.506554,1789284506.5066805,1789284506.5066874,1789284506.5066886,1.0,6.8060000000000006e-06]"
/pose_provider/agv1/estimator_timing,1789284506.5067897,1789284506.5067897,,"[5198.0,1789284506.506554,1789284506.506758,0.000203749,1.0]"
/multi_agv/state_projection_timing,1789284506.509331,1789284506.5092592,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.5092592,1.0,0.0,1789284506.49459,0.014669091,1.0,0.010298415556627867,0.0,1789284506.4959033,0.013355871,1.0,-0.005351509744970961,0.0,1789284506.5009408,0.00831828,1.0,-0.005167891956793694,0.0]"
/pose_provider/agv2/fusion_timing,1789284506.5096476,1789284506.5096476,,"[5053.0,1789284506.5079093,1789284506.509566,1789284506.5095727,1789284506.509574,1.0,6.654e-06]"
/pose_provider/agv2/estimator_timing,1789284506.5097053,1789284506.5097053,,"[5025.0,1789284506.5079093,1789284506.509629,0.0017196610000000001,1.0]"
/pose_provider/agv3/estimator_timing,1789284506.5113711,1789284506.5113711,,"[4877.0,1789284506.5089498,1789284506.5113068,0.0023569280000000003,1.0]"
/pose_provider/agv1/estimator_timing,1789284506.5147867,1789284506.5147867,,"[5199.0,1789284506.5145986,1789284506.5147545,0.00015573100000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.5147874,1789284506.5147874,,"[5222.0,1789284506.5145986,1789284506.5146964,1789284506.5147016,1789284506.514702,1.0,5.242e-06]"
/pose_provider/agv2/fusion_timing,1789284506.5182123,1789284506.5182123,,"[5054.0,1789284506.5158846,1789284506.518052,1789284506.5180948,1789284506.5180972,1.0,4.2761e-05]"
/pose_provider/agv2/estimator_timing,1789284506.5182145,1789284506.5182145,,"[5026.0,1789284506.5158846,1789284506.5181549,0.002270013,1.0]"
/multi_agv/state_projection_timing,1789284506.5193794,1789284506.519251,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.519251,1.0,0.0,1789284506.506554,0.012697215000000001,1.0,0.010298415556627867,0.0,1789284506.5079093,0.01134189,1.0,-0.005351509744970964,0.0,1789284506.5089498,0.010301389000000001,1.0,-0.005167891956793697,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.522166,1789284506.522166,,"[4878.0,1789284506.5209327,1789284506.5221183,0.001185628,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.5268486,1789284506.5268486,,"[5223.0,1789284506.526597,1789284506.5267303,1789284506.5267363,1789284506.5267372,1.0,6.017e-06]"
/pose_provider/agv1/estimator_timing,1789284506.5268517,1789284506.5268517,,"[5200.0,1789284506.526597,1789284506.5267944,0.00019722700000000001,1.0]"
/multi_agv/state_projection_timing,1789284506.5294135,1789284506.52926,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.52926,1.0,0.0,1789284506.5145986,0.014661138,1.0,0.010298415556627867,0.0,1789284506.5158846,0.013375228000000001,1.0,-0.005351509744970964,0.0,1789284506.5209327,0.008327252,1.0,-0.005167891956793697,0.0]"
/pose_provider/agv2/fusion_timing,1789284506.530934,1789284506.530934,,"[5055.0,1789284506.5279248,1789284506.5308485,1789284506.5308542,1789284506.5308552,1.0,5.81e-06]"
/pose_provider/agv2/estimator_timing,1789284506.5310154,1789284506.5310154,,"[5027.0,1789284506.5279248,1789284506.5309124,0.0029873530000000003,1.0]"
/pose_provider/agv3/estimator_timing,1789284506.5310318,1789284506.5310318,,"[4879.0,1789284506.528942,1789284506.5309467,0.00200451,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.5347865,1789284506.5347865,,"[5224.0,1789284506.5345805,1789284506.5347123,1789284506.5347195,1789284506.5347226,1.0,7.024000000000001e-06]"
/pose_provider/agv1/estimator_timing,1789284506.5348158,1789284506.5348158,,"[5201.0,1789284506.5345805,1789284506.5347815,0.00020074300000000003,1.0]"
/pose_provider/agv2/fusion_timing,1789284506.5373268,1789284506.5373268,,"[5056.0,1789284506.5359845,1789284506.537277,1789284506.5372825,1789284506.5372853,1.0,5.444000000000001e-06]"
/pose_provider/agv2/estimator_timing,1789284506.537358,1789284506.537358,,"[5028.0,1789284506.5359845,1789284506.5373313,0.00134635,1.0]"
/multi_agv/state_projection_timing,1789284506.5393302,1789284506.5392616,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.5392616,1.0,0.0,1789284506.526597,0.012664539,1.0,0.010298415556627867,0.0,1789284506.5279248,0.011336798,1.0,-0.005351509744970964,0.0,1789284506.528942,0.010319446000000001,1.0,-0.005167891956793697,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.5444589,1789284506.5444589,,"[4880.0,1789284506.5409236,1789284506.5444372,0.003513266,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.5468566,1789284506.5468566,,"[5225.0,1789284506.5465965,1789284506.5467484,1789284506.5467546,1789284506.5467563,1.0,6.122e-06]"
/pose_provider/agv1/estimator_timing,1789284506.546871,1789284506.546871,,"[5202.0,1789284506.5465965,1789284506.5468402,0.000243297,1.0]"
/multi_agv/state_projection_timing,1789284506.5493255,1789284506.5492923,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.5492923,1.0,0.0,1789284506.5345805,0.014711670000000001,1.0,0.010321284346410185,0.0,1789284506.5359845,0.013307607,1.0,-0.0052386751416452215,0.0,1789284506.5409236,0.008368736,1.0,-0.005217140254405422,0.0]"
/pose_provider/agv2/fusion_timing,1789284506.5500352,1789284506.5500352,,"[5057.0,1789284506.5479336,1789284506.5499117,1789284506.5499568,1789284506.5499578,1.0,4.4973000000000005e-05]"
/pose_provider/agv2/estimator_timing,1789284506.5500386,1789284506.5500386,,"[5029.0,1789284506.5479336,1789284506.549988,0.0020543230000000003,1.0]"
/pose_provider/agv3/estimator_timing,1789284506.5508385,1789284506.5508385,,"[4881.0,1789284506.548941,1789284506.5507364,0.0017954890000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.554758,1789284506.554758,,"[5226.0,1789284506.5545578,1789284506.5547016,1789284506.5547051,1789284506.5547056,1.0,3.654e-06]"
/pose_provider/agv1/estimator_timing,1789284506.5547974,1789284506.5547974,,"[5203.0,1789284506.5545578,1789284506.5547779,0.00021999900000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789284506.558649,1789284506.558649,,"[5058.0,1789284506.5558982,1789284506.5585108,1789284506.5585473,1789284506.5585504,1.0,3.6358e-05]"
/pose_provider/agv2/estimator_timing,1789284506.5586572,1789284506.5586572,,"[5030.0,1789284506.5558982,1789284506.5586114,0.002712192,1.0]"
/multi_agv/state_projection_timing,1789284506.5592346,1789284506.559193,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789284506.559193,1.0,0.0,1789284506.5465965,0.012596346000000001,1.0,0.010321284346410206,0.0,1789284506.5479336,0.011259225000000001,1.0,-0.0052386751416452215,0.0,1789284506.548941,0.010251960000000001,1.0,-0.0052171402544054155,0.0]"
/pose_provider/agv3/estimator_timing,1789284506.5621128,1789284506.5621128,,"[4882.0,1789284506.5609481,1789284506.5620885,0.0011403630000000001,1.0]"
/pose_provider/agv1/fusion_timing,1789284506.566801,1789284506.566801,,"[5227.0,1789284506.5665982,1789284506.5667472,1789284506.5667527,1789284506.5667553,1.0,5.563e-06]"
/pose_provider/agv1/estimator_timing,1789284506.5668132,1789284506.5668132,,"[5204.0,1789284506.5665982,1789284506.5667908,0.00019264500000000002,1.0]"
