topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789290338.1756654,1789290338.1755462,1,24811,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv2/capability_report,1789290338.1860473,1789290338.1809628,2,24668,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.1877391,1789290338.1875904,1,24812,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.190429,1789290338.1863887,3,4106,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.1929314,1789290338.1889663,2,24669,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.1956658,1789290338.1955879,1,24813,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.1980455,1789290338.1943817,3,4107,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.2054625,1789290338.200923,2,24670,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2077858,1789290338.2075841,1,24814,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.210074,1789290338.2063649,3,4108,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.2143235,1789290338.2089744,2,24671,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2156303,1789290338.215565,1,24815,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.2180629,1789290338.214363,3,4109,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.2252042,1789290338.220925,2,24672,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2276893,1789290338.227586,1,24816,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.23072,1789290338.2263162,3,4110,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.235679,1789290338.228948,2,24673,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2357435,1789290338.2355773,1,24817,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.213553428649902
/agv3/capability_report,1789290338.2380607,1789290338.2343833,3,4111,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.2452836,1789290338.2409735,2,24674,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.247793,1789290338.2476525,1,24818,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2517478,1789290338.2463658,3,4112,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.2531483,1789290338.2489483,2,24675,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.255754,1789290338.255605,1,24819,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2583485,1789290338.2543743,3,4113,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.878388404846191
/agv2/capability_report,1789290338.265219,1789290338.2609456,2,24676,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2676754,1789290338.2675445,1,24820,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2710476,1789290338.2663364,3,4114,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.2731087,1789290338.2689633,2,24677,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.2756715,1789290338.2755451,1,24821,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2781098,1789290338.274369,3,4115,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789290338.2876399,1789290338.2875514,1,24822,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2906845,1789290338.2863667,3,4116,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789290338.2956738,1789290338.2955468,1,24823,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.2984943,1789290338.2943633,3,4117,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789290338.3078115,1789290338.3076575,1,24824,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3103032,1789290338.3063157,3,4118,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789290338.3158507,1789290338.3156624,1,24825,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv2/capability_report,1789290338.3181617,1789290338.2809525,2,24678,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv2/capability_report,1789290338.3181813,1789290338.2889524,2,24679,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv2/capability_report,1789290338.318188,1789290338.3009508,2,24680,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv2/capability_report,1789290338.3181899,1789290338.308945,2,24681,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv3/capability_report,1789290338.3196182,1789290338.3143802,3,4119,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3251643,1789290338.320975,2,24682,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.3276494,1789290338.3275423,1,24826,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3302383,1789290338.326369,3,4120,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.333194,1789290338.3289757,2,24683,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.3357086,1789290338.335574,1,24827,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3380911,1789290338.334362,3,4121,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3456318,1789290338.3409462,2,24684,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.347739,1789290338.3475726,1,24828,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3503265,1789290338.3463814,3,4122,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3545678,1789290338.348947,2,24685,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789290338.355699,1789290338.3555808,1,24829,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3580348,1789290338.3543777,3,4123,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3647566,1789290338.3609376,2,24686,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.3677156,1789290338.3675387,1,24830,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.370038,1789290338.3663673,3,4124,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3742373,1789290338.3689556,2,24687,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.3756244,1789290338.3755379,1,24831,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3782582,1789290338.3743615,3,4125,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.3850431,1789290338.3809874,2,24688,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.3876421,1789290338.3875337,1,24832,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.3900523,1789290338.3863697,3,4126,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.394819,1789290338.388965,2,24689,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.3956454,1789290338.3955379,1,24833,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv3/capability_report,1789290338.398089,1789290338.3943763,3,4127,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4052596,1789290338.4009774,2,24690,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4076707,1789290338.407538,1,24834,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4121583,1789290338.4063773,3,4128,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4135568,1789290338.408975,2,24691,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4156306,1789290338.415536,1,24835,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.421773,1789290338.4143746,3,4129,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4262369,1789290338.4209633,2,24692,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4277108,1789290338.4275749,1,24836,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4303193,1789290338.426372,3,4130,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4342816,1789290338.4289665,2,24693,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4357111,1789290338.4355676,1,24837,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4385443,1789290338.434389,3,4131,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv1/capability_report,1789290338.4477866,1789290338.447573,1,24838,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4505029,1789290338.4463837,3,4132,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4505222,1789290338.4409766,2,24694,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv2/capability_report,1789290338.4531415,1789290338.4489803,2,24695,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4557147,1789290338.4555755,1,24839,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4587176,1789290338.4543858,3,4133,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4653952,1789290338.4609644,2,24696,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4676983,1789290338.4675725,1,24840,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4714751,1789290338.4663527,3,4134,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4732523,1789290338.4689646,2,24697,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.4756954,1789290338.4755776,1,24841,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4802608,1789290338.4743764,3,4135,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
/agv2/capability_report,1789290338.4864688,1789290338.4809797,2,24698,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.144322395324707
/agv1/capability_report,1789290338.487663,1789290338.487541,1,24842,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.398021697998047
/agv3/capability_report,1789290338.4905407,1789290338.486376,3,4136,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.931574821472168
