topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789290338.3989298,1789290338.3989298,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.3979015,1.0,1.1619562206104328e-07,-9.677453953620414e-08,-1.1619562206104328e-07,-9.677453953620414e-08,-1.1619562206104328e-07,0.16,0.16,0.003359116429423552,1.1428559966662142e-07,9.295105448157158e-08,1.1428559966662142e-07,9.295105448157158e-08,0.16,0.16,-0.002995816518847455,9.316565409730598e-08,8.16932047163202e-08,9.316565409730598e-08,8.16932047163202e-08,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4086382,1789290338.4086382,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4078977,1.0,9.153259132833401e-07,-7.623915649465501e-07,-9.153259132833401e-07,-7.623915649465501e-07,-9.153259132833401e-07,0.16,0.16,0.003359116429423552,9.0024501714397e-07,7.322428083545955e-07,9.0024501714397e-07,7.322428083545955e-07,0.16,0.16,-0.002995816518847455,7.337037897247735e-07,6.433621946084369e-07,7.337037897247735e-07,6.433621946084369e-07,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.418596,1789290338.418596,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4178965,1.0,3.0455066864884714e-06,-2.5368282397045045e-06,-3.0455066864884714e-06,-2.5368282397045045e-06,-3.0455066864884714e-06,0.16,0.16,0.003359116429423552,2.9952225758744336e-06,2.4364265746385368e-06,2.9952225758744336e-06,2.4364265746385368e-06,0.16,0.16,-0.002995816518847455,2.4405641003540663e-06,2.1400768445100345e-06,2.4405641003540663e-06,2.1400768445100345e-06,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.428535,1789290338.428535,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4278984,1.0,7.113658764322299e-06,-5.8814988703816805e-06,-7.113658764322299e-06,-5.8814988703816805e-06,-7.113658764322299e-06,0.16,0.16,0.003359116429423552,6.9690479130774385e-06,5.63934606412225e-06,6.9690479130774385e-06,5.63934606412225e-06,0.16,0.16,-0.002995816518847455,5.703073198290817e-06,4.998927273850986e-06,5.703073198290817e-06,4.998927273850986e-06,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4385896,1789290338.4385896,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4379594,1.0,1.3748729296784287e-05,-1.1367985534071305e-05,-1.3748729296784287e-05,-1.1367985534071305e-05,-1.3748729296784287e-05,0.16,0.16,0.003359116429423552,1.3468849316527111e-05,1.089963785194594e-05,1.3468849316527111e-05,1.089963785194594e-05,0.16,0.16,-0.002995816518847455,1.1019986364027062e-05,9.659455894919579e-06,1.1019986364027062e-05,9.659455894919579e-06,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4486635,1789290338.4486635,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4479017,1.0,2.3284228758646912e-05,-1.9371278151444265e-05,-2.3284228758646912e-05,-1.9371278151444265e-05,-2.3284228758646912e-05,0.16,0.16,0.003359116429423552,2.2836612820216755e-05,1.8360974797906674e-05,2.2836612820216755e-05,1.8360974797906674e-05,0.16,0.16,-0.002995816518847455,1.872511776001894e-05,1.6344221556049804e-05,1.872511776001894e-05,1.6344221556049804e-05,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4586494,1789290338.4586494,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4579575,1.0,3.6539174855662945e-05,-3.0400150126246406e-05,-3.6539174855662945e-05,-3.0400150126246406e-05,-3.6539174855662945e-05,0.16,0.16,0.003359116429423552,3.583611196186517e-05,2.8814287798221736e-05,3.583611196186517e-05,2.8814287798221736e-05,0.16,0.16,-0.002995816518847455,2.937930960136657e-05,2.564392332113545e-05,2.937930960136657e-05,2.564392332113545e-05,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4685051,1789290338.4685051,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4678946,1.0,5.364284975628479e-05,-4.4632033843374144e-05,-5.364284975628479e-05,-4.4632033843374144e-05,-5.364284975628479e-05,0.16,0.16,0.003359116429423552,5.2610391871361626e-05,4.2303810108049604e-05,5.2610391871361626e-05,4.2303810108049604e-05,0.16,0.16,-0.002995816518847455,4.312474211285112e-05,3.7641968530440725e-05,4.312474211285112e-05,3.7641968530440725e-05,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4786003,1789290338.4786003,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4779418,1.0,7.542245758436922e-05,-6.27553168611016e-05,-7.542245758436922e-05,-6.27553168611016e-05,-7.542245758436922e-05,0.16,0.16,0.003359116429423552,7.397145850606502e-05,5.94827696490914e-05,7.397145850606502e-05,5.94827696490914e-05,0.16,0.16,-0.002995816518847455,6.062589556425737e-05,5.291837181609941e-05,6.062589556425737e-05,5.291837181609941e-05,0.16,0.16,-9.523256028564694e-06]"
/multi_agv/formal_execution_limiter_state,1789290338.4885728,1789290338.4885728,formal_execution_limiter_v1:header4+3x7,"[1.0,1789290338.4878953,1.0,0.00010236520466219145,-8.533185302267397e-05,-0.00010236520466219145,-8.533185302267397e-05,-0.00010236520466219145,0.16,0.16,0.003359116429423552,0.0001000654981496705,8.038460594272354e-05,0.0001000654981496705,8.038460594272354e-05,0.16,0.16,-0.002995816518847455,8.184807685169639e-05,7.182469541866869e-05,8.184807685169639e-05,7.182469541866869e-05,0.16,0.16,-9.523256028564694e-06]"
