topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1788867520.865611,1788867520.8653915,1,401553,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv1/capability_report,1788867520.8908515,1788867520.8773994,1,401554,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv1/capability_report,1788867520.8908675,1788867520.8854394,1,401555,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv1/capability_report,1788867520.8975534,1788867520.8974428,1,401556,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867520.9020758,1788867520.9001024,3,401189,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.548718452453613
/agv2/capability_report,1788867520.9028065,1788867520.90037,2,400318,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv1/capability_report,1788867520.905527,1788867520.905399,1,401557,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867520.9108555,1788867520.9083679,2,400319,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv3/capability_report,1788867520.9137535,1788867520.91218,3,401190,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.548718452453613
/agv1/capability_report,1788867520.9175014,1788867520.917399,1,401558,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867520.921709,1788867520.920123,3,401191,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867520.9233224,1788867520.9203687,2,400320,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv1/capability_report,1788867520.9255126,1788867520.9253938,1,401559,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867520.9318573,1788867520.9283688,2,400321,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv3/capability_report,1788867520.9336572,1788867520.932097,3,401192,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867520.937665,1788867520.93746,1,401560,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867520.9420156,1788867520.9401152,3,401193,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867520.9428146,1788867520.9403687,2,400322,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv1/capability_report,1788867520.945458,1788867520.9453957,1,401561,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867520.9508727,1788867520.9483733,2,400323,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv3/capability_report,1788867520.9539175,1788867520.952149,3,401194,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867520.95748,1788867520.9573908,1,401562,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867520.9617689,1788867520.9601705,3,401195,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867520.9641683,1788867520.9603698,2,400324,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv1/capability_report,1788867520.9654841,1788867520.9653926,1,401563,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867520.9708579,1788867520.9683719,2,400325,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv3/capability_report,1788867520.9735477,1788867520.9721067,3,401196,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867520.977581,1788867520.9774287,1,401564,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867520.9828267,1788867520.9801302,3,401197,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867520.98401,1788867520.9803712,2,400326,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv1/capability_report,1788867520.9855287,1788867520.9854221,1,401565,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867520.9908066,1788867520.9883702,2,400327,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.64622688293457
/agv3/capability_report,1788867520.993742,1788867520.9921565,3,401198,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867520.997515,1788867520.9973965,1,401566,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867521.0016909,1788867521.0001814,3,401199,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867521.0032265,1788867521.0003588,2,400328,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.60190486907959
/agv1/capability_report,1788867521.0055618,1788867521.0054338,1,401567,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv2/capability_report,1788867521.010836,1788867521.0083694,2,400329,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.60190486907959
/agv3/capability_report,1788867521.0137649,1788867521.0121043,3,401200,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867521.0175555,1788867521.017435,1,401568,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.39084243774414
/agv3/capability_report,1788867521.02188,1788867521.020107,3,401201,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867521.0232985,1788867521.020371,2,400330,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.60190486907959
/agv1/capability_report,1788867521.0255222,1788867521.025403,1,401569,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.116044044494629
/agv2/capability_report,1788867521.031976,1788867521.028373,2,400331,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.60190486907959
/agv3/capability_report,1788867521.0337133,1788867521.0321736,3,401202,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv1/capability_report,1788867521.0375147,1788867521.0373943,1,401570,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.116044044494629
/agv3/capability_report,1788867521.0419786,1788867521.0401,3,401203,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.45120906829834
/agv2/capability_report,1788867521.0435045,1788867521.04037,2,400332,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.60190486907959
