topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,path_progress_execute_reference_1,path_progress_execute_reference_2,path_progress_execute_reference_3,path_velocity_execute_reference_1,path_velocity_execute_reference_2,path_velocity_execute_reference_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788867520.8966012,1788867520.895785,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005251536238685512,0.0006027226397211769,0.0,-0.00017547890913300314,0.0016480840439622104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9064903,1788867520.9057665,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005155120323056351,0.0006027226397211851,0.0,-0.0013571412091545585,0.001483275639566091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9165854,1788867520.915804,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005155120323056341,0.0006027226397211851,0.0,-0.0012214270882391822,0.001334948075609482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9264874,1788867520.9257655,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.0051551203230563395,0.0006027226397211851,0.0,-0.001099284379415286,0.001201453268048534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9366758,1788867520.9358177,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538215,0.00012398010273087127,0.0,0.002840031614387428,-0.0029079475228839064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9467096,1788867520.9457986,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538233,0.000123980102730871,0.0,0.002556028452948902,-0.0026171527705955194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.956687,1788867520.955801,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538233,0.000123980102730871,0.0,0.0023004256076540118,-0.0023554374935359675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9666142,1788867520.9657671,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538233,0.000547351895584433,0.0,0.0020703830468886105,0.0031691692338746548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9765892,1788867520.9757955,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538233,0.0005473518955844286,0.0,0.0018633447421997494,0.0028522523104871533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9866562,1788867520.9857666,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005614640913538233,0.0005473518955844286,0.0,0.0016770102679797745,0.002567027079438438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867520.9967039,1788867520.9958189,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005788155914904692,0.0007388871840501951,0.0,0.002950932489188739,0.00390653575370588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867521.0067787,1788867521.0058022,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005788155914904685,0.0007388871840502038,0.0,0.002655839240269778,0.0035158821783354004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788867521.0165758,1788867521.0158048,m1_r1_circle_r0p7_cw_smooth_exit_serial,M1_R1,0.005788155914904685,0.0007388871840502038,0.0,0.0023902553162428006,0.0031642939605018602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
