topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_algorithm_state,1788938460.372988,1788938460.372988,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.372888,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.002675434246311709,-0.0002719075508937056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009710522687116961,-0.0002018091881423839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.3830237,1788938460.3830237,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.3829312,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0027494028863894104,0.00036669160131933497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009710522687116961,-0.0002018091881423839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.3929014,1788938460.3929014,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.39279,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0027494028863894156,0.0003300224411874678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009710522687116855,-0.0001634654423954107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4028623,1788938460.4028623,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4027984,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028212491514217454,0.0008984233479461653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009710522687116855,-0.0001634654423954107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4128046,1788938460.4128046,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4127417,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028212491514217355,0.0008085810131514249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009145727930970572,-0.0005590516922422962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4227974,1788938460.4227974,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.422738,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028212491514217355,0.0007277229118362825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009145727930970572,-0.0005590516922422962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4328065,1788938460.4328065,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4327214,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028212491514217355,0.0006549506206526542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009145727930970572,-0.00045283187071625995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4428248,1788938460.4428248,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4427707,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028212491514217355,0.0005894555585873888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0009145727930970572,-0.00045283187071625995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.453212,1788938460.453212,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4531565,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.00285750166198569,0.0009870190998477698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.00085766299365047,-0.0007952487405139924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4630077,1788938460.4630077,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.462885,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0028575016619857042,0.0008883171898631116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.00085766299365047,-0.0007952487405139924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4730413,1788938460.4730413,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.472907,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.002857501661985705,0.0007994854708768112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008200523324576863,-0.0011137030534665818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.4830093,1788938460.4830093,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4828808,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0027728796754030146,1.5016514865322217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008200523324576863,-0.0011137030534665818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.493101,1788938460.493101,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.4930189,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.002772879675403017,1.351486337882257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008200523324576891,-0.0009020994733079103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.5030136,1788938460.5030136,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.5028934,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.002772879675403017,1.2163377040940314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008200523324576891,-0.0009020994733079103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.5130126,1788938460.5130126,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.5128942,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.002711380879009394,-0.0007609494436178134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008064719746922115,-0.0008325646873710597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
/multi_agv/formal_algorithm_state,1788938460.5229897,1788938460.5229897,formal_algorithm_state_v2:header10+3x29,"[0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1788938460.5228791,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0027113808790094106,-0.0006848544992558947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0008064719746922115,-0.0008325646873710597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
