topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv1/chassis_command,1788940050.286848,1788940050.261111,1,52686,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.286908,1788940050.2712371,1,52687,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.2869086,1788940050.261111,2,52686,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.286918,1788940050.2712371,2,52687,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.286923,1788940050.2812405,1,52688,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.286936,1788940050.2812405,2,52688,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.292093,1788940050.2911272,1,52689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.2921085,1788940050.2911272,2,52689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv3/chassis_command,1788940050.2921295,1788940050.2911272,3,52689,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.301903,1788940050.3011236,1,52690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.301914,1788940050.3011236,2,52690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv3/chassis_command,1788940050.3019245,1788940050.3011236,3,52690,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.3123405,1788940050.3112092,1,52691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv2/chassis_command,1788940050.3123503,1788940050.3112092,2,52691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv3/chassis_command,1788940050.3123667,1788940050.3112092,3,52691,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
/agv1/chassis_command,1788940050.3218126,1788940050.321107,1,52692,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_robot2_derating_serial,M1_R1
