topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv1/chassis_command,1788934963.4469752,1788934963.43126,1,52477,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4469788,1788934963.4413648,1,52478,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4470282,1788934963.43126,2,52477,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4471126,1788934963.4413648,2,52478,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4520292,1788934963.4512265,1,52479,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4520347,1788934963.4512265,2,52479,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.4520385,1788934963.4512265,3,51915,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4617825,1788934963.4612708,1,52480,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4617944,1788934963.4612708,2,52480,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.4617999,1788934963.4612708,3,51916,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4717264,1788934963.4712205,1,52481,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4717367,1788934963.4712205,2,52481,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.4717386,1788934963.4712205,3,51917,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4817958,1788934963.481222,1,52482,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.4818048,1788934963.481222,3,51918,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.481809,1788934963.481222,2,52482,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.4917743,1788934963.4912734,1,52483,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.4917743,1788934963.4912734,2,52483,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.4917762,1788934963.4912734,3,51919,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.5020814,1788934963.5012963,2,52484,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.5020823,1788934963.5012963,1,52484,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.5021784,1788934963.5012963,3,51920,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.5123122,1788934963.5112758,1,52485,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.5123146,1788934963.5112758,2,52485,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.512317,1788934963.5112758,3,51921,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.522184,1788934963.5212405,1,52486,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.5221891,1788934963.5212405,2,52486,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv3/chassis_command,1788934963.5221996,1788934963.5212405,3,51922,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv1/chassis_command,1788934963.5320492,1788934963.5312657,1,52487,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
/agv2/chassis_command,1788934963.532055,1788934963.5312657,2,52487,1,0.0,0.0,0.0,0.0,m1_r1_circle_r0p7_cw_smooth_exit_soft_start_serial,M1_R1
