topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1788412298.4182386,1788412298.4182386,0.5731
/camera/world/agv3_confidence,1788412298.4184542,1788412298.4184542,0.5431
/camera/world/agv2_confidence,1788412298.418568,1788412298.418568,0.5621
/camera/world/agv2_confidence,1788412298.449213,1788412298.449213,0.5576
/camera/world/agv3_confidence,1788412298.4492903,1788412298.4492903,0.5276
/camera/world/agv1_confidence,1788412298.4493294,1788412298.4493294,0.5679
/camera/world/agv1_confidence,1788412298.4813335,1788412298.4813335,0.5726
/camera/world/agv3_confidence,1788412298.4813604,1788412298.4813604,0.5272
/camera/world/agv2_confidence,1788412298.4814093,1788412298.4814093,0.5615
/camera/world/agv2_confidence,1788412298.5097866,1788412298.5097866,0.562
/camera/world/agv1_confidence,1788412298.5098608,1788412298.5098608,0.5665
/camera/world/agv3_confidence,1788412298.5101979,1788412298.5101979,0.5391
/camera/world/agv3_confidence,1788412298.548307,1788412298.548307,0.527
/camera/world/agv2_confidence,1788412298.54834,1788412298.54834,0.5368
/camera/world/agv1_confidence,1788412298.5484002,1788412298.5484002,0.5727
/camera/world/agv1_confidence,1788412298.5779588,1788412298.5779588,0.5725
/camera/world/agv2_confidence,1788412298.578166,1788412298.578166,0.5617
/camera/world/agv3_confidence,1788412298.5782785,1788412298.5782785,0.5192
/camera/world/agv2_confidence,1788412298.6176844,1788412298.6176844,0.5607
/camera/world/agv3_confidence,1788412298.6176922,1788412298.6176922,0.5285
/camera/world/agv1_confidence,1788412298.6178591,1788412298.6178591,0.5672
/camera/world/agv1_confidence,1788412298.6469245,1788412298.6469245,0.567
/camera/world/agv2_confidence,1788412298.646968,1788412298.646968,0.561
/camera/world/agv3_confidence,1788412298.647037,1788412298.647037,0.5426
/camera/world/agv2_confidence,1788412298.6798866,1788412298.6798866,0.5616
/camera/world/agv1_confidence,1788412298.679996,1788412298.679996,0.5655
/camera/world/agv3_confidence,1788412298.6800957,1788412298.6800957,0.5435
/camera/world/agv1_confidence,1788412298.7121706,1788412298.7121706,0.5674
/camera/world/agv3_confidence,1788412298.7123995,1788412298.7123995,0.5274
/camera/world/agv2_confidence,1788412298.7124374,1788412298.7124374,0.2837
/camera/world/agv2_confidence,1788412298.7519,1788412298.7519,0.5622
/camera/world/agv1_confidence,1788412298.751942,1788412298.751942,0.5669
/camera/world/agv3_confidence,1788412298.7521343,1788412298.7521343,0.5303
/camera/world/agv1_confidence,1788412298.7851927,1788412298.7851927,0.5733
/camera/world/agv3_confidence,1788412298.7852273,1788412298.7852273,0.541
/camera/world/agv2_confidence,1788412298.7853353,1788412298.7853353,0.5573
/camera/world/agv1_confidence,1788412298.813087,1788412298.813087,0.5708
/camera/world/agv3_confidence,1788412298.813113,1788412298.813113,0.5439
