stamp,load_s_reference,load_velocity_reference,evaluation_active,agv1_position_error,agv1_velocity_error,agv1_psi,agv1_gamma,agv1_gamma_inverse_upsilon,agv1_composite_error,agv1_channel_input_raw,agv1_channel_input_limited,agv1_theta_hat_1,agv1_theta_hat_2,agv1_disturbance_estimate,agv2_position_error,agv2_velocity_error,agv2_psi,agv2_gamma,agv2_gamma_inverse_upsilon,agv2_composite_error,agv2_channel_input_raw,agv2_channel_input_limited,agv2_theta_hat_1,agv2_theta_hat_2,agv2_disturbance_estimate,agv3_position_error,agv3_velocity_error,agv3_psi,agv3_gamma,agv3_gamma_inverse_upsilon,agv3_composite_error,agv3_channel_input_raw,agv3_channel_input_limited,agv3_theta_hat_1,agv3_theta_hat_2,agv3_disturbance_estimate
1788412298.4035509,nan,nan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788412298.413538,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.4235356,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.433587,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.443534,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.4535806,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.4636014,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.47363,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.4835231,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.4935746,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.5035348,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.5135593,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.523523,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.5335724,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.5435975,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788412298.5535483,4.941177563769676e-09,4.937188315610662e-07,False,0.00010808969519865465,-4.775150074087342e-07,-4.775161344055877e-07,1.000004720265507,1.5920720360870646e-15,0.00012923011810398,-0.0004583880876778199,-0.0004583880876778199,1.6776522729477258e-11,4.0750491240077363e-23,0.07993724163946533,-4.941177563769676e-09,-4.937188315610662e-07,-4.937200363420092e-07,1.0000048804421773,1.701954938257625e-15,-4.996494494185328e-07,0.00014977358864575854,0.00014977358864575854,0.0,0.0,0.07993595328855607,-5.0907876652130485e-05,-4.993066389913664e-07,-4.993078711976047e-07,1.000004935678311,1.74069770410655e-15,-6.158875985375418e-05,0.0004361532828587188,0.0004361532828587188,3.765116727429629e-12,-2.30950272367381e-24,0.079936564676278
1788412298.563633,4.4038277320872266e-08,3.899997422130186e-06,False,0.00010805059809889732,-3.7975992661223496e-06,-3.7976705453869453e-06,1.0000375396366523,3.9531187593944885e-13,0.00012586304717328984,-1.0380673224265037e-05,-1.0380673224265037e-05,3.3139735536541596e-11,1.6284104484844073e-21,0.07987439439791975,-4.4038277320872266e-08,-3.899997422130186e-06,-3.9000725972110465e-06,1.0000385518953832,4.169176539049059e-13,-3.9529185299960935e-06,0.0005980591293179182,0.0005980591293179182,0.0,0.0,0.07987188489708327,-5.0946973751887584e-05,-3.935308912282791e-06,-3.935385454851667e-06,1.0000389009682498,4.24501590606007e-13,-6.507175395711677e-05,0.0008845140499357477,0.0008845140499357477,7.749038934633592e-12,-9.992086881839797e-23,0.07987310852878356
1788412298.5736406,1.754156810847148e-07,1.3038679012586129e-05,False,0.00010791922069513348,-1.2764804639215361e-05,-1.2765609949998425e-05,1.00012618260332,9.881640124253906e-12,0.00011673745488416175,0.0007368990962926855,0.0007368990962926855,4.839078876249726e-11,1.2216541644143998e-20,0.07981118579793073,-1.754156810847148e-07,-1.3038679012586129e-05,-1.303951925233326e-05,1.0001288902901926,1.0310222053352834e-11,-1.3250018069634917e-05,0.0013460311727984836,0.0013460311727984836,0.0,0.0,0.07980763545190776,-5.107835115565143e-05,-1.3133123215639871e-05,-1.3133975672420702e-05,1.0001298240261698,1.0460126044210589e-11,-7.442799705920242e-05,0.001632702349135982,0.001632702349135982,1.2328546597486462e-11,-9.027036216376154e-22,0.0798094746052041
1788412298.583559,4.7449102602333414e-07,3.0163821402407486e-05,False,-7.911895917862498e-05,-3.154081747602061e-05,-3.154573412240256e-05,1.0003117997784348,1.0442133692997909e-10,-0.00012648848513675253,0.002818386358376523,0.002818386358376523,6.021820384481836e-11,-2.7323467069976376e-19,0.0797491338706816,-4.7449102602333414e-07,-3.0163821402407486e-05,-3.016831807697701e-05,1.0002981828749427,9.5502637195333e-11,-3.073770730820501e-05,0.0023694073117766176,0.0023694073117766176,0.0,0.0,0.07974463666832554,-5.1377426500590046e-05,-3.0338611997108427e-05,-3.0343160942298717e-05,1.0002999113297368,9.661268442045207e-11,-9.199607274300677e-05,0.0026563913640296247,0.0026563913640296247,1.7898860239510914e-11,-4.247595503788298e-21,0.07974708192432424
