topic,bag_stamp,header_stamp,experiment_id,method_id,block_id,run_id,phase,run_active,evaluation_active,manual_abort,abort_reason
/multi_agv/experiment_state,1788412643.2120216,1788412643.1486888,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.2487106,1788412643.248662,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.3486667,1788412643.3486326,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.448659,1788412643.4486325,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.5486887,1788412643.5486388,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.6487277,1788412643.6486382,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.748704,1788412643.7486656,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.8488111,1788412643.8487017,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412643.9488046,1788412643.9487362,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.0487356,1788412644.0486968,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.1488168,1788412644.1487062,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.2488399,1788412644.2487001,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.3487515,1788412644.3486617,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.4488099,1788412644.4486938,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.5487673,1788412644.5486982,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.6487508,1788412644.6486635,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.7487097,1788412644.7486472,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.8487146,1788412644.848665,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412644.9488235,1788412644.9487028,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412645.0488205,1788412645.0486703,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
/multi_agv/experiment_state,1788412645.1487443,1788412645.1487048,exp2a_m1_r1_unloaded_serial,M1_R1,B02,m1_r1_serial_20260903_131721,2,True,False,False,
