topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv1/chassis_command,1788424095.4060917,1788424095.392313,1,54856,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4060957,1788424095.4022105,1,54857,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.406099,1788424095.392313,2,54856,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4061327,1788424095.4022105,2,54857,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.412975,1788424095.412278,1,54858,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4129784,1788424095.412278,2,54858,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.4129815,1788424095.412278,3,54290,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4226925,1788424095.422212,1,54859,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4226968,1788424095.422212,2,54859,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.4227,1788424095.422212,3,54291,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4328387,1788424095.432212,1,54860,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4328413,1788424095.432212,2,54860,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.4328475,1788424095.432212,3,54292,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4429367,1788424095.442215,1,54861,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4429417,1788424095.442215,2,54861,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.4429443,1788424095.442215,3,54293,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4529855,1788424095.4522376,1,54862,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4530087,1788424095.4522376,2,54862,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.45301,1788424095.4522376,3,54294,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv1/chassis_command,1788424095.4628947,1788424095.4622183,1,54863,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.4628975,1788424095.4622183,2,54863,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv3/chassis_command,1788424095.4629133,1788424095.4622183,3,54295,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
/agv2/chassis_command,1788424095.473003,1788424095.4722712,2,54864,1,0.0,0.0,0.0,0.0,exp2a_m1_r1_unloaded_serial,M1_R1
