topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1788759155.863294,1788759155.8421216,1,33953,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv1/capability_report,1788759155.8633056,1788759155.854118,1,33954,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv1/capability_report,1788759155.863308,1788759155.8620977,1,33955,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv1/capability_report,1788759155.8742101,1788759155.8741,1,33956,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.8760977,1788759155.8735232,3,5046,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.8761919,1788759155.8732917,2,16802,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.882266,1788759155.8821177,1,33957,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.884943,1788759155.881292,2,16803,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.8849618,1788759155.8815312,3,5047,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.8942528,1788759155.894119,1,33958,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.8955963,1788759155.8935275,3,5048,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.8957098,1788759155.893292,2,16804,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.9022903,1788759155.9021034,1,33959,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.9042168,1788759155.901308,2,16805,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.9042196,1788759155.9015281,3,5049,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.914256,1788759155.9140658,1,33960,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.9154344,1788759155.9135265,3,5050,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.9164162,1788759155.9132872,2,16806,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.9221506,1788759155.9220715,1,33961,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.923615,1788759155.9215233,3,5051,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.923761,1788759155.92129,2,16807,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.9342844,1788759155.9341028,1,33962,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.937644,1788759155.9332952,2,16808,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.9376602,1788759155.9333706,3,5052,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.9422805,1788759155.9421027,1,33963,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.9467146,1788759155.9412901,2,16809,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.9467456,1788759155.9414012,3,5053,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.9541764,1788759155.9540997,1,33964,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.9556525,1788759155.9535246,3,5054,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.9558156,1788759155.953297,2,16810,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.9621596,1788759155.9621017,1,33965,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.9639065,1788759155.961152,2,16811,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.9645734,1788759155.961526,3,5055,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.9742959,1788759155.9740987,1,33966,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv2/capability_report,1788759155.9758723,1788759155.9732893,2,16812,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv3/capability_report,1788759155.9758735,1788759155.9735205,3,5056,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv1/capability_report,1788759155.9822,1788759155.9821122,1,33967,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.665640830993652
/agv3/capability_report,1788759155.987686,1788759155.9815404,3,5057,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.683369636535645
/agv2/capability_report,1788759155.9905162,1788759155.981289,2,16813,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759155.9941924,1788759155.9941013,1,33968,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.967033386230469
/agv3/capability_report,1788759155.9958835,1788759155.9935265,3,5058,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.807472229003906
/agv2/capability_report,1788759155.9959424,1788759155.993295,2,16814,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759156.0022202,1788759156.0021017,1,33969,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.967033386230469
/agv3/capability_report,1788759156.0032818,1788759156.0015292,3,5059,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.807472229003906
/agv2/capability_report,1788759156.0041382,1788759156.0012884,2,16815,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759156.0144053,1788759156.014102,1,33970,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.967033386230469
/agv3/capability_report,1788759156.0153775,1788759156.01352,3,5060,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.807472229003906
/agv2/capability_report,1788759156.0161717,1788759156.0132868,2,16816,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
/agv1/capability_report,1788759156.0222166,1788759156.0221176,1,33971,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.967033386230469
/agv3/capability_report,1788759156.023741,1788759156.0215235,3,5061,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.807472229003906
/agv2/capability_report,1788759156.0237713,1788759156.0212557,2,16817,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,12.135457992553711
