topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789189038.2916324,1789189038.2915225,1,15333,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.548718452453613
/agv1/capability_report,1789189038.3191457,1789189038.303558,1,15334,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.548718452453613
/agv1/capability_report,1789189038.319203,1789189038.311531,1,15335,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.548718452453613
/agv1/capability_report,1789189038.3236501,1789189038.3235333,1,15336,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789189038.330836,1789189038.3309577,2,10560,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.331713,1789189038.331555,1,15337,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789189038.3393176,1789189038.3389485,2,10561,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.3436503,1789189038.3435192,1,15338,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.3451047,1789189038.3378117,3,10142,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.887252807617188
/agv3/capability_report,1789189038.3461895,1789189038.345845,3,10143,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.887252807617188
/agv2/capability_report,1789189038.3508682,1789189038.35097,2,10562,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.3516388,1789189038.3515222,1,15339,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.3563414,1789189038.3577898,3,10144,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.887252807617188
/agv2/capability_report,1789189038.358619,1789189038.3590245,2,10563,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.363624,1789189038.363523,1,15340,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.3661785,1789189038.3658216,3,10145,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv1/capability_report,1789189038.3716295,1789189038.3715208,1,15341,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789189038.3723476,1789189038.370988,2,10564,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv2/capability_report,1789189038.3797686,1789189038.3789287,2,10565,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv3/capability_report,1789189038.379842,1789189038.3778064,3,10146,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv1/capability_report,1789189038.3836212,1789189038.3835285,1,15342,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.3844578,1789189038.385857,3,10147,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv2/capability_report,1789189038.3905098,1789189038.3909676,2,10566,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.3916674,1789189038.391534,1,15343,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.3963869,1789189038.3978138,3,10148,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv2/capability_report,1789189038.398198,1789189038.3989556,2,10567,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.4035997,1789189038.4035215,1,15344,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.4043918,1789189038.40581,3,10149,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv2/capability_report,1789189038.4114904,1789189038.4109817,2,10568,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.4118054,1789189038.411574,1,15345,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.41731,1789189038.417845,3,10150,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv2/capability_report,1789189038.4192116,1789189038.4189622,2,10569,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
/agv1/capability_report,1789189038.4235933,1789189038.42353,1,15346,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv3/capability_report,1789189038.4247398,1789189038.4258487,3,10151,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.984762191772461
/agv2/capability_report,1789189038.4303586,1789189038.4309556,2,10570,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.186960220336914
