topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789189038.323184,1789189038.323184,0.5838
/camera/world/agv3_confidence,1789189038.323193,1789189038.323193,0.5533
/camera/world/agv2_confidence,1789189038.3232021,1789189038.3232021,0.5429
/camera/world/agv1_confidence,1789189038.3620186,1789189038.3620186,0.5837
/camera/world/agv2_confidence,1789189038.362234,1789189038.362234,0.5455
/camera/world/agv3_confidence,1789189038.3625443,1789189038.3625443,0.5515
/camera/world/agv1_confidence,1789189038.3910136,1789189038.3910136,0.584
/camera/world/agv2_confidence,1789189038.391361,1789189038.391361,0.5494
/camera/world/agv3_confidence,1789189038.3914008,1789189038.3914008,0.5503
/camera/world/agv2_confidence,1789189038.423236,1789189038.423236,0.5446
/camera/world/agv3_confidence,1789189038.4234488,1789189038.4234488,0.547
/camera/world/agv1_confidence,1789189038.4234712,1789189038.4234712,0.5787
/camera/world/agv2_confidence,1789189038.457704,1789189038.457704,0.5436
/camera/world/agv3_confidence,1789189038.457768,1789189038.457768,0.5491
/camera/world/agv1_confidence,1789189038.4579504,1789189038.4579504,0.5847
/camera/world/agv1_confidence,1789189038.488496,1789189038.488496,0.5835
/camera/world/agv2_confidence,1789189038.4886777,1789189038.4886777,0.5459
/camera/world/agv3_confidence,1789189038.488727,1789189038.488727,0.5487
/camera/world/agv1_confidence,1789189038.5238168,1789189038.5238168,0.5784
/camera/world/agv3_confidence,1789189038.5238926,1789189038.5238926,0.5411
/camera/world/agv2_confidence,1789189038.5239122,1789189038.5239122,0.5486
/camera/world/agv3_confidence,1789189038.5541375,1789189038.5541375,0.5536
/camera/world/agv2_confidence,1789189038.5541422,1789189038.5541422,0.5479
/camera/world/agv1_confidence,1789189038.5542743,1789189038.5542743,0.585
/camera/world/agv1_confidence,1789189038.593143,1789189038.593143,0.5839
/camera/world/agv2_confidence,1789189038.5931833,1789189038.5931833,0.543
/camera/world/agv3_confidence,1789189038.5931864,1789189038.5931864,0.5426
/camera/world/agv1_confidence,1789189038.623062,1789189038.623062,0.5843
/camera/world/agv3_confidence,1789189038.6231818,1789189038.6231818,0.5427
/camera/world/agv2_confidence,1789189038.6232708,1789189038.6232708,0.5478
/camera/world/agv1_confidence,1789189038.666998,1789189038.666998,0.5841
/camera/world/agv3_confidence,1789189038.6670432,1789189038.6670432,0.5415
/camera/world/agv2_confidence,1789189038.6670501,1789189038.6670501,0.5467
/camera/world/agv3_confidence,1789189038.6979313,1789189038.6979313,0.5233
/camera/world/agv2_confidence,1789189038.697946,1789189038.697946,0.5466
/camera/world/agv1_confidence,1789189038.698047,1789189038.698047,0.5843
/camera/world/agv3_confidence,1789189038.7295246,1789189038.7295246,0.5485
/camera/world/agv2_confidence,1789189038.729583,1789189038.729583,0.5445
/camera/world/agv1_confidence,1789189038.7296271,1789189038.7296271,0.5775
/camera/world/agv1_confidence,1789189038.7601752,1789189038.7601752,0.5841
/camera/world/agv2_confidence,1789189038.7602847,1789189038.7602847,0.5497
/camera/world/agv3_confidence,1789189038.760301,1789189038.760301,0.5506
/camera/world/agv1_confidence,1789189038.7903612,1789189038.7903612,0.5837
/camera/world/agv2_confidence,1789189038.79045,1789189038.79045,0.546
/camera/world/agv3_confidence,1789189038.7906187,1789189038.7906187,0.5508
/camera/world/agv1_confidence,1789189038.8216588,1789189038.8216588,0.5835
/camera/world/agv2_confidence,1789189038.8219364,1789189038.8219364,0.5447
/camera/world/agv3_confidence,1789189038.821947,1789189038.821947,0.5296
/camera/world/agv1_confidence,1789189038.8642535,1789189038.8642535,0.5844
/camera/world/agv2_confidence,1789189038.8645124,1789189038.8645124,0.5487
/camera/world/agv3_confidence,1789189038.8647182,1789189038.8647182,0.5502
/camera/world/agv1_confidence,1789189038.8970232,1789189038.8970232,0.5844
/camera/world/agv2_confidence,1789189038.8972118,1789189038.8972118,0.5476
/camera/world/agv3_confidence,1789189038.8974352,1789189038.8974352,0.5502
/camera/world/agv1_confidence,1789189038.9294686,1789189038.9294686,0.5851
/camera/world/agv2_confidence,1789189038.9295187,1789189038.9295187,0.5478
/camera/world/agv3_confidence,1789189038.9298084,1789189038.9298084,0.5477
/camera/world/agv3_confidence,1789189038.9611263,1789189038.9611263,0.5479
/camera/world/agv1_confidence,1789189038.961181,1789189038.961181,0.5838
/camera/world/agv2_confidence,1789189038.9612913,1789189038.9612913,0.5478
/camera/world/agv3_confidence,1789189038.9899757,1789189038.9899757,0.5493
/camera/world/agv2_confidence,1789189038.9900563,1789189038.9900563,0.5489
/camera/world/agv1_confidence,1789189038.9900753,1789189038.9900753,0.576
/camera/world/agv3_confidence,1789189039.028853,1789189039.028853,0.5391
/camera/world/agv2_confidence,1789189039.0288577,1789189039.0288577,0.5455
/camera/world/agv1_confidence,1789189039.028862,1789189039.028862,0.5742
/camera/world/agv2_confidence,1789189039.061072,1789189039.061072,0.5489
/camera/world/agv1_confidence,1789189039.0610745,1789189039.0610745,0.575
/camera/world/agv3_confidence,1789189039.0612347,1789189039.0612347,0.5375
/camera/world/agv1_confidence,1789189039.0984583,1789189039.0984583,0.5752
/camera/world/agv3_confidence,1789189039.0987165,1789189039.0987165,0.5441
/camera/world/agv2_confidence,1789189039.0987306,1789189039.0987306,0.546
/camera/world/agv2_confidence,1789189039.1285665,1789189039.1285665,0.547
/camera/world/agv1_confidence,1789189039.128589,1789189039.128589,0.5694
/camera/world/agv3_confidence,1789189039.1286829,1789189039.1286829,0.5568
/camera/world/agv1_confidence,1789189039.1652455,1789189039.1652455,0.5789
/camera/world/agv3_confidence,1789189039.1652634,1789189039.1652634,0.5329
/camera/world/agv2_confidence,1789189039.165436,1789189039.165436,0.5457
/camera/world/agv2_confidence,1789189039.1980057,1789189039.1980057,0.544
/camera/world/agv1_confidence,1789189039.1980362,1789189039.1980362,0.5765
/camera/world/agv3_confidence,1789189039.1981165,1789189039.1981165,0.5563
/camera/world/agv1_confidence,1789189039.2294326,1789189039.2294326,0.5765
/camera/world/agv2_confidence,1789189039.2296722,1789189039.2296722,0.5374
/camera/world/agv3_confidence,1789189039.2298276,1789189039.2298276,0.5286
/camera/world/agv1_confidence,1789189039.260461,1789189039.260461,0.5732
/camera/world/agv3_confidence,1789189039.2605042,1789189039.2605042,0.5259
/camera/world/agv2_confidence,1789189039.2605164,1789189039.2605164,0.5552
/camera/world/agv1_confidence,1789189039.2928264,1789189039.2928264,0.5853
/camera/world/agv2_confidence,1789189039.2928832,1789189039.2928832,0.4939
/camera/world/agv3_confidence,1789189039.2929366,1789189039.2929366,0.5545
/camera/world/agv1_confidence,1789189039.3245933,1789189039.3245933,0.5737
/camera/world/agv2_confidence,1789189039.3246067,1789189039.3246067,0.5147
/camera/world/agv3_confidence,1789189039.3246603,1789189039.3246603,0.5513
/camera/world/agv1_confidence,1789189039.3625581,1789189039.3625581,0.5788
/camera/world/agv3_confidence,1789189039.3627398,1789189039.3627398,0.5563
/camera/world/agv2_confidence,1789189039.362748,1789189039.362748,0.5569
/camera/world/agv2_confidence,1789189039.3941941,1789189039.3941941,0.5478
/camera/world/agv1_confidence,1789189039.394344,1789189039.394344,0.5762
/camera/world/agv3_confidence,1789189039.3945346,1789189039.3945346,0.5575
/camera/world/agv1_confidence,1789189039.4280574,1789189039.4280574,0.5761
/camera/world/agv2_confidence,1789189039.4283965,1789189039.4283965,0.5455
/camera/world/agv3_confidence,1789189039.428417,1789189039.428417,0.5308
/camera/world/agv2_confidence,1789189039.4589758,1789189039.4589758,0.5548
/camera/world/agv1_confidence,1789189039.4590762,1789189039.4590762,0.5725
/camera/world/agv3_confidence,1789189039.4591,1789189039.4591,0.5531
/camera/world/agv1_confidence,1789189039.4920633,1789189039.4920633,0.5675
/camera/world/agv3_confidence,1789189039.4921088,1789189039.4921088,0.5515
/camera/world/agv2_confidence,1789189039.4922118,1789189039.4922118,0.5159
/camera/world/agv2_confidence,1789189039.5243149,1789189039.5243149,0.5496
/camera/world/agv1_confidence,1789189039.5243418,1789189039.5243418,0.5785
/camera/world/agv3_confidence,1789189039.5244458,1789189039.5244458,0.5563
/camera/world/agv1_confidence,1789189039.5592616,1789189039.5592616,0.5651
/camera/world/agv2_confidence,1789189039.55927,1789189039.55927,0.5435
/camera/world/agv3_confidence,1789189039.5594218,1789189039.5594218,0.5475
/camera/world/agv1_confidence,1789189039.5879843,1789189039.5879843,0.5714
/camera/world/agv2_confidence,1789189039.5881722,1789189039.5881722,0.558
/camera/world/agv3_confidence,1789189039.588277,1789189039.588277,0.5552
/camera/world/agv1_confidence,1789189039.6289995,1789189039.6289995,0.5756
/camera/world/agv2_confidence,1789189039.6292777,1789189039.6292777,0.491
/camera/world/agv3_confidence,1789189039.629357,1789189039.629357,0.4991
/camera/world/agv3_confidence,1789189039.6603281,1789189039.6603281,0.5417
/camera/world/agv2_confidence,1789189039.6603396,1789189039.6603396,0.5468
/camera/world/agv1_confidence,1789189039.6604443,1789189039.6604443,0.5641
/camera/world/agv2_confidence,1789189039.6924915,1789189039.6924915,0.5454
/camera/world/agv1_confidence,1789189039.6925163,1789189039.6925163,0.5608
/camera/world/agv3_confidence,1789189039.6926422,1789189039.6926422,0.5532
/camera/world/agv1_confidence,1789189039.7223663,1789189039.7223663,0.5513
/camera/world/agv3_confidence,1789189039.72246,1789189039.72246,0.5508
/camera/world/agv2_confidence,1789189039.7225676,1789189039.7225676,0.4854
/camera/world/agv1_confidence,1789189039.7641783,1789189039.7641783,0.5644
/camera/world/agv2_confidence,1789189039.7642272,1789189039.7642272,0.5482
/camera/world/agv3_confidence,1789189039.7644947,1789189039.7644947,0.5507
/camera/world/agv2_confidence,1789189039.793783,1789189039.793783,0.5208
/camera/world/agv1_confidence,1789189039.793792,1789189039.793792,0.5754
/camera/world/agv3_confidence,1789189039.793973,1789189039.793973,0.5408
/camera/world/agv2_confidence,1789189039.82802,1789189039.82802,0.5557
/camera/world/agv3_confidence,1789189039.828261,1789189039.828261,0.5501
/camera/world/agv1_confidence,1789189039.82831,1789189039.82831,0.5731
/camera/world/agv1_confidence,1789189039.857601,1789189039.857601,0.5423
/camera/world/agv2_confidence,1789189039.8578742,1789189039.8578742,0.5437
/camera/world/agv3_confidence,1789189039.8579037,1789189039.8579037,0.5505
/camera/world/agv1_confidence,1789189039.900009,1789189039.900009,0.578
/camera/world/agv3_confidence,1789189039.9002547,1789189039.9002547,0.5412
/camera/world/agv2_confidence,1789189039.9003108,1789189039.9003108,0.5552
/camera/world/agv2_confidence,1789189039.9336612,1789189039.9336612,0.5635
/camera/world/agv1_confidence,1789189039.9336772,1789189039.9336772,0.5721
