stamp,load_s_reference,load_velocity_reference,evaluation_active,agv1_position_error,agv1_velocity_error,agv1_psi,agv1_gamma,agv1_gamma_inverse_upsilon,agv1_composite_error,agv1_channel_input_raw,agv1_channel_input_limited,agv1_theta_hat_1,agv1_theta_hat_2,agv1_disturbance_estimate,agv2_position_error,agv2_velocity_error,agv2_psi,agv2_gamma,agv2_gamma_inverse_upsilon,agv2_composite_error,agv2_channel_input_raw,agv2_channel_input_limited,agv2_theta_hat_1,agv2_theta_hat_2,agv2_disturbance_estimate,agv3_position_error,agv3_velocity_error,agv3_psi,agv3_gamma,agv3_gamma_inverse_upsilon,agv3_composite_error,agv3_channel_input_raw,agv3_channel_input_limited,agv3_theta_hat_1,agv3_theta_hat_2,agv3_disturbance_estimate
1789189038.3265285,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3365314,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3465252,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.356538,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3665302,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3764925,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3865023,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.3965209,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4065197,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.416757,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4265263,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4365385,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4465485,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4565334,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.466526,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4765263,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4865208,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.4965208,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789189038.506521,3.0761944802458656e-10,3.066456029188369e-08,False,-5.364865272364814e-06,-4.893725963478165e-05,-4.8949100484251415e-05,1.0004840056815023,1.0397710200411553e-12,-5.538693881108919e-05,0.00028667924527179406,0.00028667924527179406,3.5785716980105033e-13,-1.5955508938645083e-16,0.0799363526460938,-3.0761944802458656e-10,-3.066456029188369e-08,-3.066456493941854e-08,1.0000003031209526,4.082314547082235e-19,-3.1033708277048044e-08,9.312565514245028e-06,9.312565514245028e-06,0.0,0.0,0.07993579706012274,-3.0761944802458656e-10,-3.066456029188369e-08,-3.066456493941854e-08,1.0000003031209526,4.082314547082235e-19,-3.1033708277048044e-08,9.312565514245028e-06,9.312565514245028e-06,0.0,0.0,0.07993579706012274
1789189038.5165565,2.7485957168583066e-09,2.4366001349912755e-07,False,1.2354512888987053e-06,3.444833645401875e-05,3.444247269693012e-05,0.9996596048592111,2.044941042094399e-12,3.592501424360857e-05,-0.00014468911809801513,-0.00014468911809801513,4.1122402885422806e-13,-1.0755523951945608e-16,0.07987264848427451,-2.7485957168583066e-09,-2.4366001349912755e-07,-2.436603069378915e-07,1.0000024085940047,1.0231301159380467e-16,-2.469586217981215e-07,3.759041585711313e-05,3.759041585711313e-05,0.0,0.0,0.07987173604474898,-2.7485957168583066e-09,-2.4366001349912755e-07,-2.436603069378915e-07,1.0000024085940047,1.0231301159380467e-16,-2.469586217981215e-07,3.759041585711313e-05,3.759041585711313e-05,0.0,0.0,0.07987173604474898
1789189038.5265205,1.0908669726255847e-08,8.162332526807707e-07,False,1.227291214889308e-06,3.387576321483711e-05,3.3870092770895525e-05,0.9996652623896757,4.4133562380699185e-12,3.534284222876269e-05,-9.694176894064494e-05,-9.694176894064494e-05,4.636029510462128e-13,-5.651596241610185e-17,0.07980912125845216,-1.0908669726255847e-08,-8.162332526807707e-07,-8.162365455686671e-07,1.0000080685212298,2.562343985156369e-15,-8.293269492401742e-07,8.529576081757316e-05,8.529576081757316e-05,0.0,0.0,0.07980786462736231,-1.0908669726255847e-08,-8.162332526807707e-07,-8.162365455686671e-07,1.0000080685212298,2.562343985156369e-15,-8.293269492401742e-07,8.529576081757316e-05,8.529576081757316e-05,0.0,0.0,0.07980786462736231
1789189038.536518,3.011823515074729e-08,1.9223579413884165e-06,False,1.2080816494648165e-06,2.617815919730107e-05,2.617477280882078e-05,0.9997413059986563,4.6505540291085234e-12,2.7624470788178558e-05,4.103806288239955e-06,4.103806288239955e-06,5.044921419582655e-13,-3.03516592101397e-17,0.07974559647803965,-3.011823515074729e-08,-1.9223579413884165e-06,-1.9223762062242735e-06,1.0000190026665285,2.5078965771872797e-14,-1.95851808840517e-06,0.00015300419344468102,0.00015300419344468102,0.0,0.0,0.07974408445088225,-3.011823515074729e-08,-1.9223579413884165e-06,-1.9223762062242735e-06,1.0000190026665285,2.5078965771872797e-14,-1.95851808840517e-06,0.00015300419344468102,0.00015300419344468102,0.0,0.0,0.07974408445088225
