topic,bag_stamp,header_stamp,experiment_id,method_id,block_id,run_id,phase,run_active,evaluation_active,manual_abort,abort_reason
/multi_agv/experiment_state,1789708855.1765525,1789708855.1019554,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.2021046,1789708855.202012,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.302083,1789708855.3019474,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.4020715,1789708855.4019516,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.5020902,1789708855.5019593,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.6021185,1789708855.60195,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.7020397,1789708855.7019494,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.8021595,1789708855.8019485,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708855.9020724,1789708855.9019513,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
/multi_agv/experiment_state,1789708856.002039,1789708856.0019531,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot,M2a_R1,B01,m2a_r1_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot_20260918_132053,2,True,False,False,
