topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789708855.4558513,1789708855.4558513,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.4553726,1.0,1.6006399592299571e-07,-1.6006399592299571e-07,-1.416675633458496e-07,-1.6006399592299571e-07,-1.416675633458496e-07,0.16,0.16,0.00943568888934937,1.2352193094441211e-07,1.2465025851097856e-07,1.2352193094441211e-07,1.2465025851097856e-07,0.16,0.16,-0.0054757557417039575,1.0024715636128857e-07,1.2217389110111956e-07,1.0024715636128857e-07,1.2217389110111956e-07,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.4658124,1789708855.4658124,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.4653366,1.0,1.2581218765729727e-06,-1.2581218765729727e-06,-1.1130996808896636e-06,-1.2581218765729727e-06,-1.1130996808896636e-06,0.16,0.16,0.00943568888934937,9.706290628420698e-07,9.792729749708047e-07,9.706290628420698e-07,9.792729749708047e-07,0.16,0.16,-0.0054757557417039575,7.869713638622101e-07,9.589221517660604e-07,7.869713638622101e-07,9.589221517660604e-07,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.4758554,1789708855.4758554,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.4753149,1.0,4.190422348319506e-06,-4.190422348319506e-06,-3.7077438935647994e-06,-4.190422348319506e-06,-3.7077438935647994e-06,0.16,0.16,0.00943568888934937,3.2323728237138768e-06,3.2611424238539204e-06,3.2323728237138768e-06,3.2611424238539204e-06,0.16,0.16,-0.0054757557417039575,2.6205266669526953e-06,3.192831754676196e-06,2.6205266669526953e-06,3.192831754676196e-06,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.4860497,1789708855.4860497,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.4853427,1.0,9.83424410181749e-06,-9.83424410181749e-06,-8.702243620359042e-06,-9.83424410181749e-06,-8.702243620359042e-06,0.16,0.16,0.00943568888934937,7.5847605544978526e-06,7.65223240627206e-06,7.5847605544978526e-06,7.65223240627206e-06,0.16,0.16,-0.0054757557417039575,6.148544877175872e-06,7.490741996623213e-06,6.148544877175872e-06,7.490741996623213e-06,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.4959364,1789708855.4959364,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.4953773,1.0,1.8992336436437507e-05,-1.8992336436437507e-05,-1.6807551433084084e-05,-1.8992336436437507e-05,-1.6807551433084084e-05,0.16,0.16,0.00943568888934937,1.4646083164294917e-05,1.4776305334466389e-05,1.4646083164294917e-05,1.4776305334466389e-05,0.16,0.16,-0.0054757557417039575,1.187182079436395e-05,1.4462289754153603e-05,1.187182079436395e-05,1.4462289754153603e-05,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.506428,1789708855.506428,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.505398,1.0,3.2406960706906146e-05,-3.2406960706906146e-05,-2.8677924795901042e-05,-3.2406960706906146e-05,-2.8677924795901042e-05,0.16,0.16,0.00943568888934937,2.4975502517255733e-05,2.519203284625465e-05,2.4975502517255733e-05,2.519203284625465e-05,0.16,0.16,-0.0054757557417039575,2.027150196674181e-05,2.470512589832781e-05,2.027150196674181e-05,2.470512589832781e-05,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5162468,1789708855.5162468,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.515388,1.0,5.0732675349313895e-05,-5.0732675349313895e-05,-4.489805848649038e-05,-5.0732675349313895e-05,-4.489805848649038e-05,0.16,0.16,0.00943568888934937,3.9094685306917316e-05,3.943347880889911e-05,3.9094685306917316e-05,3.943347880889911e-05,0.16,0.16,-0.0054757557417039575,3.172925746985714e-05,3.866630417567735e-05,3.172925746985714e-05,3.866630417567735e-05,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5260653,1789708855.5260653,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5253892,1.0,7.469309881959132e-05,-7.469309881959132e-05,-6.610706902436514e-05,-7.469309881959132e-05,-6.610706902436514e-05,0.16,0.16,0.00943568888934937,5.755346488836251e-05,5.805202318058702e-05,5.755346488836251e-05,5.805202318058702e-05,0.16,0.16,-0.0054757557417039575,4.670745757059455e-05,5.6915786382425675e-05,4.670745757059455e-05,5.6915786382425675e-05,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5365293,1789708855.5365293,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5354078,1.0,0.00010495221108289654,-0.00010495221108289654,-9.28931666146997e-05,-0.00010495221108289654,-9.28931666146997e-05,0.16,0.16,0.00943568888934937,8.086329503181062e-05,8.15635200253747e-05,8.086329503181062e-05,8.15635200253747e-05,0.16,0.16,-0.0054757557417039575,6.56206894405692e-05,7.995824560949037e-05,6.56206894405692e-05,7.995824560949037e-05,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5462053,1789708855.5462053,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.545384,1.0,0.00014187797545601606,-0.00014187797545601606,-0.0001255824301338428,-0.00014187797545601606,-0.0001255824301338428,0.16,0.16,0.00943568888934937,0.00010930821139016392,0.00011025443802642778,0.00010930821139016392,0.00011025443802642778,0.16,0.16,-0.0054757557417039575,8.869910247115093e-05,0.00010807362920448232,8.869910247115093e-05,0.00010807362920448232,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5561347,1789708855.5561347,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5553396,1.0,0.00018592889351139096,-0.00018592889351139096,-0.00016460116811969019,-0.00018592889351139096,-0.00016460116811969019,0.16,0.16,0.00943568888934937,0.00014334805202007196,0.0001445842599452729,0.00014334805202007196,0.0001445842599452729,0.16,0.16,-0.0054757557417039575,0.0001162805148418297,0.00014167761320815018,0.0001162805148418297,0.00014167761320815018,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5662978,1789708855.5662978,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.565461,1.0,0.00023874948974138933,-0.00023874948974138933,-0.000211370396728983,-0.00023874948974138933,-0.000211370396728983,0.16,0.16,0.00943568888934937,0.00018407147500808428,0.00018565844498590498,0.00018407147500808428,0.00018565844498590498,0.16,0.16,-0.0054757557417039575,0.00014930807053428467,0.00018191114563241418,0.00014930807053428467,0.00018191114563241418,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5763812,1789708855.5763812,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5753393,1.0,0.00029851234203615175,-0.00029851234203615175,-0.00026428714549025454,-0.00029851234203615175,-0.00026428714549025454,0.16,0.16,0.00943568888934937,0.00023015340067122618,0.00023213720513500053,0.00023015340067122618,0.00023213720513500053,0.16,0.16,-0.0054757557417039575,0.00018668042281242463,0.00022743584464947106,0.00018668042281242463,0.00022743584464947106,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.586322,1789708855.586322,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5854492,1.0,0.00036849842325817697,-0.00036849842325817697,-0.0003262558516607179,-0.00036849842325817697,-0.0003262558516607179,0.16,0.16,0.00943568888934937,0.0002841292188349532,0.0002865777598173769,0.0002841292188349532,0.0002865777598173769,0.16,0.16,-0.0054757557417039575,0.00023045408986626092,0.0002807566058854267,0.00023045408986626092,0.0002807566058854267,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.5962722,1789708855.5962722,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.5954103,1.0,0.0004465620338822339,-0.0004465620338822339,-0.00039537551695309806,-0.0004465620338822339,-0.00039537551695309806,0.16,0.16,0.00943568888934937,0.00034435116746837197,0.0003473181672952919,0.00034435116746837197,0.0003473181672952919,0.16,0.16,-0.0054757557417039575,0.0002792931862452021,0.00034024615160256253,0.0002792931862452021,0.00034024615160256253,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.6063473,1789708855.6063473,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.605389,1.0,0.0005343616605551425,-0.0005343616605551425,-0.0004730842620339135,-0.0005343616605551425,-0.0004730842620339135,0.16,0.16,0.00943568888934937,0.0004126384604213377,0.00041621608135634247,0.0004126384604213377,0.00041621608135634247,0.16,0.16,-0.0054757557417039575,0.00033410167991699944,0.0004070090291243194,0.00033410167991699944,0.0004070090291243194,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.6161494,1789708855.6161494,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.6153793,1.0,0.0006322841931758363,-0.0006322841931758363,-0.0005597837486115117,-0.0006322841931758363,-0.0005597837486115117,0.16,0.16,0.00943568888934937,0.00048801212360507617,0.0004922325755598793,0.00048801212360507617,0.0004922325755598793,0.16,0.16,-0.0054757557417039575,0.0003955332143081662,0.00048185707832365223,0.0003955332143081662,0.00048185707832365223,0.16,0.16,-0.004547706949611009]"
/multi_agv/formal_execution_limiter_state,1789708855.626408,1789708855.626408,formal_execution_limiter_v1:header4+3x7,"[1.0,1789708855.625344,1.0,0.0007395947073318735,-0.0007395947073318735,-0.0006548160103985662,-0.0007395947073318735,-0.0006548160103985662,0.16,0.16,0.00943568888934937,0.0005707492016324652,0.000576275503884934,0.0005707492016324652,0.000576275503884934,0.16,0.16,-0.0054757557417039575,0.0004628070939902029,0.000563757197135209,0.0004628070939902029,0.000563757197135209,0.16,0.16,-0.004547706949611009]"
