topic,bag_stamp,header_stamp,layout_label,data_json
/pose_provider/agv1/fusion_timing,1789708855.179466,1789708855.179466,,"[7065.0,1789708855.179286,1789708855.1793761,1789708855.1793897,1789708855.179395,1.0,1.3546e-05]"
/pose_provider/agv1/estimator_timing,1789708855.179561,1789708855.179561,,"[7036.0,1789708855.179286,1789708855.1794686,0.000182437,1.0]"
/pose_provider/agv3/estimator_timing,1789708855.1804051,1789708855.1804051,,"[6800.0,1789708855.1777122,1789708855.1803546,0.00264204,1.0]"
/multi_agv/state_projection_timing,1789708855.1857667,1789708855.1856482,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789708855.1856482,1.0,0.0,1789708855.179286,0.0063621350000000005,1.0,0.009436996015773719,0.0,1789708855.17515,0.01049808,1.0,-0.005510033794458601,0.0,1789708855.1777122,0.007935844000000001,1.0,-0.004541718682928766,0.0]"
/pose_provider/agv1/fusion_timing,1789708855.1875403,1789708855.1875403,,"[7066.0,1789708855.187343,1789708855.1874802,1789708855.1874912,1789708855.187494,1.0,1.11e-05]"
/pose_provider/agv1/estimator_timing,1789708855.1875806,1789708855.1875806,,"[7037.0,1789708855.187343,1789708855.187552,0.00020891300000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789708855.1899362,1789708855.1899362,,"[6963.0,1789708855.1870508,1789708855.1898909,1789708855.1899006,1789708855.1899025,1.0,9.713e-06]"
/pose_provider/agv2/estimator_timing,1789708855.1899886,1789708855.1899886,,"[6923.0,1789708855.1870508,1789708855.1899521,0.002901358,1.0]"
/pose_provider/agv2/fusion_timing,1789708855.1939478,1789708855.1939478,,"[6964.0,1789708855.1951518,1789708855.1938884,1789708855.1939003,1789708855.1939037,1.0,1.1947000000000001e-05]"
/pose_provider/agv2/estimator_timing,1789708855.1940048,1789708855.1940048,,"[6924.0,1789708855.1951518,1789708855.1939695,-0.001182453999999944,1.0]"
/multi_agv/state_projection_timing,1789708855.19572,1789708855.1956432,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789708855.1956432,1.0,0.0,1789708855.179286,0.016357182,1.0,0.009436996015773719,0.0,1789708855.17515,0.020493127,1.0,-0.005510033794458601,0.0,1789708855.1777122,0.017930891,1.0,-0.004541718682928766,0.0]"
/pose_provider/agv3/estimator_timing,1789708855.1963189,1789708855.1963189,,"[6801.0,1789708855.1896565,1789708855.1962876,0.0066312720000000006,1.0]"
/pose_provider/agv3/estimator_timing,1789708855.197295,1789708855.197295,,"[6802.0,1789708855.1977062,1789708855.1972692,-0.00043725599999988596,1.0]"
/pose_provider/agv1/fusion_timing,1789708855.1995134,1789708855.1995134,,"[7067.0,1789708855.199318,1789708855.199453,1789708855.1994593,1789708855.19946,1.0,6.0620000000000006e-06]"
