topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/m2b_algorithm_state,1789708200.6579907,1789708200.6579907,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,2.192235165164301e-08,5.9399673539932354e-06,1789708200.6578798,0.0,0.0,0.0,1.4165643789237508e-07,0.0,-6.087714686283887e-08,-1.83944380565472e-05,-0.0067306817666138614,0.0,-0.0067306817666138614,0.0,0.0,1.0,0.0,-0.008413352208267326,0.0298675419957869,0.0298675419957869,0.1599999999999905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001327195960021555,0.0,-0.001327195960021555,0.0,0.0,1.0,0.0,-0.0016589949500269438,0.005889432072595651,0.005889432072595651,0.16000000000000766,1.0,0.0,0.0,0.0,0.0,9.207668463004381e-08,0.0,-3.957014546084527e-08,-1.1956384736755684e-05,0.007772176485695885,0.0,0.007772176485695885,0.0,0.0,1.0,0.0,0.009715220607119856,-0.03448894107859086,-0.03448894107859086,0.16000000000000766,1.0,0.0]"
/multi_agv/m2b_algorithm_state,1789708200.6680994,1789708200.6680994,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,1.0297022223017411e-07,1.1877480214103779e-05,1789708200.6678731,2.1566065528456322e-08,8.90306896556679e-06,0.0,-4.029630239988878e-05,1.9919299490998487e-08,1.7307170942256277e-05,-0.000978825208829365,-0.006728004151508291,0.0,-0.00672802571757382,-8.90306896556679e-06,-8.903444955438501e-06,1.0000844657805914,-1.5375642496692822e-13,-0.008418935591922713,0.029848122458146158,0.029848122458146158,0.15999999999998912,0.9999577702930054,-1.53769412123384e-13,2.2516681604751405e-08,-2.83791610750719e-09,0.0009058020583333335,0.0009472852709379368,1.7829898593251886e-09,-1.7828415810302225e-05,0.0018116041166666673,-0.001323706160016272,0.0,-0.0013237286766978767,2.83791610750719e-09,2.8379160693034193e-09,0.9999999730761807,3.6729081694601397e-19,-0.0016546580079562765,0.006821320098091808,0.006821320098091808,0.16000000000000628,1.00000001346191,3.672908070571424e-19,2.16843078217213e-08,8.91967101252042e-06,0.0,-3.3560520536931115e-05,1.2966008653442728e-08,1.4416036600504866e-05,-0.0009532671061557539,0.007762329980619161,0.0,0.007762308296311339,-8.91967101252042e-06,-8.920048405941006e-06,1.0000846232900549,-1.2853307099038894e-13,0.009693965321983232,-0.034439883875895715,-0.034439883875895715,0.16000000000000628,0.9999576915501563,-1.28543947881737e-13]"
/multi_agv/m2b_algorithm_state,1789708200.6778648,1789708200.6778648,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,2.4313132133439104e-07,1.7769787356926404e-05,1789708200.6777365,1.2993226601651816e-07,1.762319641779295e-05,0.0,-7.758381405292692e-05,2.0551819700887902e-07,3.323590997949152e-05,-0.0010682058514421288,-0.006728004151508288,0.0,-0.0067281340837743045,-1.762319641779295e-05,-1.7624669597740034e-05,1.0001671974339577,-1.159814089236639e-12,-0.00842779227431562,0.029843442922417456,0.029843442922417456,0.1599999999999882,0.9999164137552247,-1.1600080071762273e-12,4.812045927059605e-08,2.883433236402009e-07,0.0009058020583333335,0.000986900604038097,-1.6454928887873415e-07,-3.4767410671390734e-05,0.0018116041166666669,-0.001323706160016265,0.0,-0.0013237542804755357,-2.883433236402009e-07,-2.8834371803082616e-07,1.00000273556567,3.950226836283839e-15,-0.0016549811943124505,0.006862195715163902,0.006862195715163902,0.16000000000000536,0.9999986322205042,3.950237642388761e-15,1.3085794140340811e-07,1.7720900900878186e-05,0.0,-6.526023364729824e-05,1.6497021631590733e-07,2.796072238438611e-05,-0.0010113645238540505,0.007762329980619147,0.0,0.007762199122677743,-1.7720900900878186e-05,-1.772239046057989e-05,1.0001681244073513,-9.864331371885621e-13,0.009685026512886599,-0.034432700724410285,-0.034432700724410285,0.16000000000000536,0.9999159504071973,-9.865989806751437e-13]"
/multi_agv/m2b_algorithm_state,1789708200.6877444,1789708200.6877444,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,4.3983080745656966e-07,2.353402028305359e-05,1789708200.6876438,3.225788910543477e-07,2.608270355394153e-05,0.0,-0.00011052450554983178,5.395564329506967e-07,4.722007712376134e-05,-0.0011893500415070366,-0.006728004151508288,0.0,-0.006728326730399342,-2.608270355394153e-05,-2.6085930425773267e-05,1.000247457875193,-3.6188634136199676e-12,-0.008436494343424951,0.029842520630514395,0.029842520630514395,0.16000000000000175,0.9998762983808103,-3.6197589298709157e-12,8.099023710272107e-08,9.117255401976968e-07,0.0009058020583333335,0.0010240679886322408,-4.8642325269501e-07,-5.0574185450186126e-05,0.0018116041166666673,-0.001323706160016265,0.0,-0.0013237871502533678,-9.117255401976968e-07,-9.11729483265935e-07,1.00000864971189,4.098103684244635e-14,-0.0016556456672999758,0.006901963813594869,0.006901963813594869,0.16000000000000175,0.9999956751774397,4.0981391316607994e-14,3.2582483584610434e-07,2.6314932976639988e-05,0.0,-9.405862456305217e-05,4.4490816633253947e-07,4.0192613820669644e-05,-0.0010901082473962409,0.007762329980619154,0.0,0.0077620041557833076,-2.6314932976639988e-05,-2.6318217563635467e-05,1.0002496611951819,-3.134804608141076e-12,0.0096761869771655,-0.034423143937947,-0.034423143937947,0.16000000000000175,0.9998751972094031,-3.135587247206206e-12]"
/multi_agv/m2b_algorithm_state,1789708200.6977715,1789708200.6977715,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,6.926481819922544e-07,2.9243471988661392e-05,1789708200.6977024,5.932997742744683e-07,3.413000758352324e-05,0.0,-0.00013750706955998438,9.947477960506184e-07,5.858126679291548e-05,-0.0013407880791560488,-0.006728004151508288,0.0,-0.006728597451282562,-3.413000758352324e-05,-3.4135532679522444e-05,1.0003238087825626,-7.708477915252038e-12,-0.008444882346782725,0.02984638123144413,0.02984638123144413,0.15999999999999515,0.9998381423822772,-7.710973988101186e-12,1.252187267968326e-07,1.9374166924103526e-06,0.0009058020583333335,0.0010576955218560948,-9.438362419792111e-07,-6.47898107719297e-05,0.001811604116666667,-0.001323706160016265,0.0,-0.0013238313787430618,-1.9374166924103526e-06,-1.937434497777026e-06,1.0000183806562406,1.9112956039198944e-13,-0.0016567266579266043,0.0069398266968954325,0.0069398266968954325,0.16000000000000372,0.9999908098226319,1.9113307347873642e-13,6.00973921298408e-07,3.453463657322718e-05,0.0,-0.00011861814151926618,8.332066507111754e-07,5.0546978326705286e-05,-0.0011885429718680985,0.007762329980619154,0.0,0.007761729006697855,-3.453463657322718e-05,-3.4540293445383245e-05,1.0003276478393046,-6.808161397606174e-12,0.009667620964926935,-0.03441062961060874,-0.03441062961060874,0.16000000000000372,0.9998362239694053,-6.810392076977737e-12]"
/multi_agv/m2b_algorithm_state,1789708200.7081268,1789708200.7081268,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,1.0037522649747385e-06,3.499368802823431e-05,1789708200.7080133,9.386406955839497e-07,4.1923704520745445e-05,0.0,-0.00015865357386914006,1.5448415991510855e-06,6.738546538975524e-05,-0.0015222838068354623,-0.006737932044522173,0.0,-0.006738870685217757,-4.1923704520745445e-05,-4.193204089517234e-05,1.000397754720601,-1.3418489164334425e-11,-0.008465520397417369,0.02989950733967951,0.02989950733967951,0.15999999999999528,0.9998011932105157,-1.3423826431742874e-11,1.8603389278699556e-07,3.2834914913029195e-06,0.0009058020583333335,0.0010888464095547082,-1.5198428676157767e-06,-7.787994149207543e-05,0.0018116041166666673,-0.001323706160016265,0.0,-0.001323892193909052,-3.2834914913029195e-06,-3.283542632990841e-06,1.0000311511774962,5.651363601744874e-13,-0.0016581487850193058,0.006976548097398386,0.006976548097398386,0.16000000000000386,0.9999844248442498,5.651539648375528e-13,9.532699576058181e-07,4.2523219953935815e-05,0.0,-0.00013910551887805816,1.311008328632089e-06,5.910518790022119e-05,-0.0013065151948597172,0.007754943133337154,0.0,0.007753989863379549,-4.2523219953935815e-05,-4.2531796442083586e-05,1.000403442921055,-1.2103983009958632e-11,0.009649955532782351,-0.03436194851341847,-0.03436194851341847,0.16000000000000386,0.9997983511427868,-1.2108866276220571e-11]"
/multi_agv/m2b_algorithm_state,1789708200.7180152,1789708200.7180152,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,1.3669955650599796e-06,4.064160141524945e-05,1789708200.7178953,1.359276238276078e-06,4.965656700759746e-05,0.0,-0.00017466232891781084,2.1678901016027766e-06,7.394408599887722e-05,-0.00172850337163954,-0.006737932044522173,0.0,-0.006739291320760449,-4.965656700759746e-05,-4.966826206115488e-05,1.000471124627959,-2.0722922082379726e-11,-0.008473782413011716,0.029913839067226358,0.029913839067226358,0.1599999999999914,0.9997645366865663,-2.073268516133601e-11,2.683174303408937e-07,4.865992525887047e-06,0.0009058020583333335,0.0011187639530200611,-2.2063045039015347e-06,-9.038308650704178e-05,0.001811604116666667,-0.0013212848099884017,0.0,-0.0013215531274187425,-4.865992525887047e-06,-4.866104842574105e-06,1.000046164773698,1.2752307837705167e-12,-0.0016568075141160023,0.00700231811734953,0.00700231811734953,0.16000000000000852,0.9999769185640893,1.2752896545110623e-12,1.383663126307244e-06,5.045850455121841e-05,0.0,-0.00015609592195245712,1.8633932062716832e-06,6.612211147242306e-05,-0.001440557911982368,0.007754943133337154,0.0,0.007753559470210847,-5.045850455121841e-05,-5.047058037149734e-05,1.0004787335302654,-1.9122951737466395e-11,0.00964147875739206,-0.03434242753010002,-0.03434242753010002,0.16000000000000852,0.9997607354583592,-1.9132106535660768e-11]"
/multi_agv/m2b_algorithm_state,1789708200.7279334,1789708200.7279334,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,1.785966391626056e-06,4.632859713472672e-05,1789708200.7278774,1.8454172028925134e-06,5.70580233240264e-05,0.0,-0.00018320962964568532,2.8269009592289257e-06,7.727756818122266e-05,-0.0019599859896363364,-0.006737932044522152,0.0,-0.006739777461725044,-5.70580233240264e-05,-5.707346425877461e-05,1.0005413512152261,-2.8697598905019528e-11,-0.00848179529141508,0.02993469966211644,0.02993469966211644,0.16000000000000228,0.9997294550988144,-2.871313438506083e-11,3.7345095861833626e-07,6.8167339754016025e-06,0.0009058020583333335,0.0011455021603835522,-2.9806338193249293e-06,-0.00010147460231954355,0.001811604116666667,-0.0013212848099883982,0.0,-0.0013216582609470165,-6.8167339754016025e-06,-6.816954395814612e-06,1.0000646720285828,2.5624001147386364e-12,-0.001658889780579585,0.007037204469797014,0.007037204469797014,0.16000000000000228,0.9999676658519023,2.5625658303520973e-12,1.8821185336690886e-06,5.805004694632034e-05,0.0,-0.00016760833833304704,2.461676761401193e-06,7.076118074802642e-05,-0.0015910216136802858,0.007754943133337154,0.0,0.007753061014803485,-5.805004694632034e-05,-5.806602942483525e-05,1.0005507638262738,-2.717439984538149e-11,0.009633260239079521,-0.03431862927390844,-0.03431862927390844,0.16000000000000228,0.9997247533769188,-2.7189366521817026e-11]"
/multi_agv/m2b_algorithm_state,1789708200.7377236,1789708200.7377236,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,2.254714728463804e-06,5.196586117417177e-05,1789708200.7376015,2.399752738200428e-06,6.440924361490798e-05,0.0,-0.00018571302971631884,3.4979221541055358e-06,7.800745861094047e-05,-0.002211615143328036,-0.006737932044522152,0.0,-0.006740331797260352,-6.440924361490798e-05,-6.44289192115787e-05,1.0006111022012198,-3.706536533434412e-11,-0.008489843665787018,0.029961718884850292,0.029961718884850292,0.15999999999999556,0.9996946154473567,-3.708801606068896e-11,5.069773915167854e-07,9.013592652244456e-06,0.0009058020583333335,0.0011708934857104618,-3.836967000327812e-06,-0.00011194501344744678,0.001811604116666667,-0.0013212848099883982,0.0,-0.001321791787379915,-9.013592652244456e-06,-9.013978035104933e-06,1.0000855143578138,4.579323542993649e-12,-0.0016612537122599987,0.007071838840713281,0.007071838840713281,0.1600000000000041,0.9999572460839181,4.57971514090565e-12,2.4511690451609547e-06,6.556295513702772e-05,0.0,-0.0001747798682699079,3.0888272031806375e-06,7.351984915473917e-05,-0.0017545805635798906,0.007754943133337154,0.0,0.007752491964291993,-6.556295513702772e-05,-6.558334184958537e-05,1.000622049120307,-3.6143697271804504e-11,0.009625031613515404,-0.03429052349374886,-0.03429052349374886,0.1600000000000041,0.9996891480064495,-3.616618042689708e-11]"
/multi_agv/m2b_algorithm_state,1789708200.7477372,1789708200.7477372,m2b_algorithm_state_v1:header6+3x20,"[1.0,-0.15,0.52,2.7875601272582105e-06,5.7838544165531934e-05,1789708200.747604,3.0133712761756334e-06,7.154720973463345e-05,0.0,-0.00017989040599177884,4.145375365818574e-06,7.517133623293459e-05,-0.002489152076773694,-0.0067520802607630576,0.0,-0.006755093632039233,-7.154720973463345e-05,-7.157148749029119e-05,1.0006788307560253,-4.429855960107026e-11,-0.008515438527539332,0.03005927456356176,0.03005927456356176,0.1600000000000033,0.9996607901203532,-4.4328630825775085e-11,6.696203394508033e-07,1.1534373421817402e-05,0.0009058020583333335,0.0011937507733299469,-4.755283167039003e-06,-0.00012129446325706309,0.001811604116666667,-0.0013318965118655109,0.0,-0.0013325661322049617,-1.1534373421817402e-05,-1.1535004497720393e-05,1.0001094299588267,7.645008928476439e-12,-0.0016772426697539225,0.007152427244560021,0.007152427244560021,0.1600000000000033,0.9999452903635092,7.645845521488711e-12,3.0811525697649762e-06,7.281600036606444e-05,0.0,-0.00017579843342514775,3.7161172575961123e-06,7.363416943624313e-05,-0.001934979570319568,0.007758859265230782,0.0,0.007755778112661016,-7.281600036606444e-05,-7.284114673508547e-05,1.0006908697725325,-4.483930996976965e-11,0.009621881494091185,-0.03427449538498734,-0.03427449538498734,0.1600000000000033,0.9996547779634432,-4.487028809364898e-11]"
